index;Participant;List;alter;geschlecht;händigkeit;aufgewachsen;wohnhaft_2020;weietere_MS;AMLaP;Part_Sex;Trial;Item;Time;Subexperiment;Condition;Verb;presumed_bias;NP1_gender;NP2_gender;Verbtyp;Connective;Prompt;Continuation;Analysierbar;Anzahl_Ana;Wortstellung;Koref_erste_ama;bias;congruency;Form;personalpronomen;Einbettung;stelle_1;kasusidentisch;anapher_folgt_unmittelbar_auf_konnektor;peronalpronomen_folgt_unmittelbar_auf_konnektor;filter_$;Zufallsreihenfolge;UrsprünglicheReihenfolge;filter_mit_gefallen;Continuation_Item;prompt;np1gender;NP1;NP2;verbclass;verb;RunCondition;Human;ChatGPT
1777;411;4;26;female;rechts;71642;72074;keine;nein;female;8;19;15604275378993;2;sodass_es_fm;sorgen sich um;subject; f; m;es; sodass; Alisa sorgte sich um Alexander, sodass ...;sie nach der Arbeit bei ihm vorbeischaute.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1388;1964;Selected;385;Alisa sorgte sich um Alexander, sodass; f;Alisa;Alexander;es;sorgte sich um;2;sie nach der Arbeit bei ihm vorbeischaute.;sie beschloss, ihn anzurufen, um sicherzustellen, dass es ihm gut ging.
268;103;1;32;male;rechts;27472;72074;keine;ja;male;75;17;15605479938175;2;weil_se_fm;irritieren;subject; f; m;se; weil; Marike irritierte Felix, weil ...;die meisten Dinge, die er von sich gab, abstruse Referenzen auf 80er-Jahre-Horrorfilme waren, die sie nie gesehen hatte und auch nie sehen würde;sinnvoll;eine;so;NP2;Objekt;inkongruent;pers;1;ja;nein;ja;anderes Wort;andere morphosyntaktische Form;Selected;1117;103;Selected;58;Marike irritierte Felix, weil; f;Marike;Felix;se;irritierte;0;die meisten Dinge, die er von sich gab, abstruse Referenzen auf 80er-Jahre-Horrorfilme waren, die sie nie gesehen hatte und auch nie sehen würde;sie ständig unerwartete Fragen stellte.
838;206;2;19;female;rechts;73432;72072;keine;ja;female;68;3;15605190121907;2;sodass_se_fm;enttäuschen;object; f; m;se; sodass; Simone enttäuschte Michael, sodass ...;er traurig war;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;721;743;Selected;182;Simone enttäuschte Michael, sodass; f;Simone;Michael;se;enttäuschte;1;er traurig war;er sich zurückzog und den Kontakt reduzierte.
290;101;1;26;female;rechts;81479;72070;keine;ja;female;102;6;1560440039205;2;weil_es_mf;misstrauen;object; m; f;es; weil; Daniel misstraute Jana, weil ...;sie schon einem gelogen hatte.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;447;33;Selected;66;Daniel misstraute Jana, weil; m;Daniel;Jana;es;misstraute;3;sie schon einem gelogen hatte.;sie ihm wichtige Informationen vorenthalten hatte.
744;203;2;22;female;rechts;71032;72076;Italienisch;ja;female;26;6;15604617484005;2;weil_se_fm;verwirren;subject; f; m;se; weil; Jana verwirrte Daniel, weil ...;sie einen langen Tag hatte.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;132;608;Selected;155;Jana verwirrte Daniel, weil; f;Jana;Daniel;se;verwirrte;0;sie einen langen Tag hatte.;sie in einer fremden Sprache sprach, die er nicht verstand.
837;206;2;19;female;rechts;73432;72072;keine;ja;female;47;3;15605188208247;2;weil_es_mf;verabscheuen;object; m; f;es; weil; Michael verabscheute Simone, weil ...;sie ihn verraten hatte;sinnvoll;zwei;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1586;736;Selected;181;Michael verabscheute Simone, weil; m;Michael;Simone;es;verabscheute;3;sie ihn verraten hatte;sie ihn immer wieder in der Öffentlichkeit bloßstellte.
1732;410;4;23;female;rechts;72459;72076;Französisch;nein;female;78;7;15604357723234;2;sodass_es_fm;schätzen;subject; f; m;es; sodass; Lena schätzte Oliver, sodass ...;sie sich bei ihm wohl fühlte.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1528;1948;Selected;340;Lena schätzte Oliver, sodass; f;Lena;Oliver;es;schätzte;2;sie sich bei ihm wohl fühlte.;sie ihm gern half, wann immer er Unterstützung benötigte.
866;206;2;19;female;rechts;73432;72072;keine;ja;female;42;20;15605187781676;2;weil_es_fm;bedauern;object; f; m;es; weil; Aisha bedauerte Albert, weil ...;er bald umziehen wird;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1144;734;Selected;210;Aisha bedauerte Albert, weil; f;Aisha;Albert;es;bedauerte;3;er bald umziehen wird;er seine Chancen nicht genutzt hatte.
856;206;2;19;female;rechts;73432;72072;keine;ja;female;77;15;1560519092898;2;weil_es_mf;fürchten;object; m; f;es; weil; Rüdiger fürchtete Katharina, weil ...;sie verkleidet war;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1676;747;Selected;200;Rüdiger fürchtete Katharina, weil; m;Rüdiger;Katharina;es;fürchtete;3;sie verkleidet war;er wusste, dass sie seine Geheimnisse kannte.
763;203;2;22;female;rechts;71032;72076;Italienisch;ja;female;117;19;15604630617682;2;sodass_se_fm;erschüttern;object; f; m;se; sodass; Alisa erschütterte Alexander, sodass ...;er erstmal bleich wurde;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1646;641;Selected;174;Alisa erschütterte Alexander, sodass; f;Alisa;Alexander;se;erschütterte;1;er erstmal bleich wurde;er für einen Moment sprachlos war und seine Gedanken ordnen musste.
1838;107;1;30;female;rechts;71131;71093;keine;nein;female;61;15;15604151782324;2;sodass_se_mf;ängstigen;object; m; f;se; sodass; Rüdiger ängstigte Katharina, sodass ...;Katharina schrie.;sinnvoll;eine;so;NP2;Objekt;kongruent;eigenname;0;nein;ja;ja;bias-kongruente Anapher;andere morphosyntaktische Form;Selected;453;262;Selected;416;Rüdiger ängstigte Katharina, sodass; m;Rüdiger;Katharina;se;ängstigte;1;Katharina schrie.;sie sich in seiner Gegenwart unwohl fühlte.
164;212;2;30;male;rechts;99192;72108;keine;ja;male;73;9;15604158158742;2;sodass_es_fm;hassen;subject; f; m;es; sodass; Annemarie hasste Malte, sodass ...;zwischen den beiden Funkstille herrschte.;sinnvoll;Plural; ; ; ; ; ; ; ; ; ;anderes Wort;andere morphosyntaktische Form;Not Selected;1982;985;Not Selected;36;Annemarie hasste Malte, sodass; f;Annemarie;Malte;es;hasste;2;zwischen den beiden Funkstille herrschte.;sie jedes Mal wütend wurde, wenn sie ihn sah.
843;206;2;19;female;rechts;73432;72072;keine;ja;female;93;6;15605192538595;2;sodass_es_mf;misstrauen;subject; m; f;es; sodass; Daniel misstraute Jana, sodass ...;er ihr nichts mehr erzählte;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;482;753;Selected;187;Daniel misstraute Jana, sodass; m;Daniel;Jana;es;misstraute;2;er ihr nichts mehr erzählte;er beschloss, ihre Handlungen genauer zu beobachten.
1828;413;4;29;male;rechts;72108;71032;keine;ja;male;67;12;15605402480774;2;sodass_es_mf;lieben;subject; m; f;es; sodass; Fritz liebte Emma, sodass ...;er zuerst sie und danach sich selbst tötete.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;790;2066;Selected;406;Fritz liebte Emma, sodass; m;Fritz;Emma;es;liebte;2;er zuerst sie und danach sich selbst tötete.;er alles für sie tun würde, um ihr Herz zu gewinnen.
1741;410;4;23;female;rechts;72459;72076;Französisch;nein;female;46;13;15604353586302;2;weil_es_mf;bemitleiden;object; m; f;es; weil; Jacob bemitleidete Melanie, weil ...;sie schlecht in Mathe war.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1741;1934;Selected;349;Jacob bemitleidete Melanie, weil; m;Jacob;Melanie;es;bemitleidete;3;sie schlecht in Mathe war.;sie sich oft so einsam fühlte.
750;203;2;22;female;rechts;71032;72076;Italienisch;ja;female;74;10;15604624926268;2;weil_se_fm;beeindrucken;subject; f; m;se; weil; Adele beeindruckte Robin, weil ...;sie gut singen konnte.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;163;625;Selected;161;Adele beeindruckte Robin, weil; f;Adele;Robin;se;beeindruckte;0;sie gut singen konnte.;sie mit ihrer kraftvollen Stimme und gefühlvollen Interpretation die Zuhörer in ihren Bann zog.
299;101;1;26;female;rechts;81479;72070;keine;ja;female;91;11;15604399004414;2;weil_es_fm;bewundern;object; f; m;es; weil; Anna bewunderte Armin, weil ...;er so gut tanzen konnte.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;590;30;Selected;75;Anna bewunderte Armin, weil; f;Anna;Armin;es;bewunderte;3;er so gut tanzen konnte.;er stets hilfsbereit und freundlich war.
