index;Fall_Nr.;Liste;VP-Nr;Alter;Geschlecht;Muttersprache deutsch;weitere Muttersprachen;Händigkeit;Item;Condition;Unnamed: 10;Prompt;Fortsetzung;Art der Fortsetzung;Bias;Form der 1. Anapher;Kommentar;Timestamp;Torgrim_Art_Fortsetzung;Torgrim_Bias;Torgrim_Anapherntyp;Unnamed: 21;Continuation_Item;prompt;np1gender;NP1;NP2;verbclass;verb;RunCondition;Human;ChatGPT
425;426;Liste2;8;25;f;deutsch;nein;rechts;6;1;<id: item 6, condition 1>;Der Michael ekelte sich vor der Ellen wegen der mangelnden Hygiene vor den OPs, weil;sie ihre Hände nie lang genug wusch.;1;objekt;pers;;14055091131283.0;1;objekt;pers;;86;Michael ekelte sich vor Ellen wegen der mangelnden Hygiene vor den OPs, weil;m;Michael;Elle;es;ekelte sich vor;2;sie ihre Hände nie lang genug wusch.;sie ihre Hände oft nicht richtig wusch und ihre Instrumente unsauber waren.
791;792;Liste3;14;24;m;deutsch;nein;rechts;12;4;<id: item 12, condition 4>;Die Katharina respektierte den Peter im Laufe der Zeit mehr und mehr, weil;seine Meinung immer fundiert und reflektiert waren.;0-poss;objekt;poss;;14055978586003.0;0-poss;objekt;pers;;132;Katharina respektierte Peter im Laufe der Zeit mehr und mehr, weil;f;Katharina;Pete;es;respektierte;3;seine Meinung immer fundiert und reflektiert waren.;sie seine Integrität und Führungskompetenz erkannte.
53;54;Liste4;1;24;m;deutsch;nein;rechts;54;3;<id: item 54, condition 3>;Der Lars irritierte die Alexandra auf überaus befremdliche Art und Weise, weil ;die ganze Zeit kein Wort sagte.;ns;;;;14055976759143.0;;;;;34;Lars irritierte Alexandra auf überaus befremdliche Art und Weise, weil;m;Lars;Alexandr;se;irritierte;4;die ganze Zeit kein Wort sagte.;er ständig in Rätseln sprach und unerwartete Themen ansprach, die nichts mit dem Gespräch zu tun hatten.
1544;1545;Liste3;26;26;f;deutsch;nein;rechts;45;3;<id: item 45, condition 3>;Der Pascal erschütterte die Annika vor wenigen Tagen in außerordentlich starkem Maße, weil ;er ihr erzählte, dass er nach Berlin ziehen wolle.;2;subjekt;pers;;14055099539135.0;;;;;265;Pascal erschütterte Annika vor wenigen Tagen in außerordentlich starkem Maße, weil;m;Pascal;Annik;se;erschütterte;4;er ihr erzählte, dass er nach Berlin ziehen wolle.;er ihr gestanden hatte, dass er aus beruflichen Gründen in eine andere Stadt ziehen würde.
826;827;Liste3;14;24;m;deutsch;nein;rechts;47;1;<id: item 47, condition 1>;Der Christoph enttäuschte die Lea durch fremdenfeindliche Witze und Parolen, weil ;er ein Schland-Fan ist.;1;subjekt;pers;;14055979155991.0;;;;;147;Christoph enttäuschte Lea durch fremdenfeindliche Witze und Parolen, weil;m;Christoph;Le;se;enttäuschte;2;er ein Schland-Fan ist.;sie solche Ansichten nicht teilt und verletzt war.
2150;2151;Liste3;36;21;m;deutsch (im Kindergarten);Türkisch;rechts;51;1;<id: item 51, condition 1>;Der Benedikt erstaunte die Heidi durch ein Jonglierkunststück mit sieben Bällen, weil ;er sonst immer mit drei Bällen ausprobierte.;1;subjekt;pers;;14056025561648.0;1;subjekt;pers;;471;Benedikt erstaunte Heidi durch ein Jonglierkunststück mit sieben Bällen, weil;m;Benedikt;Heid;se;erstaunte;2;er sonst immer mit drei Bällen ausprobierte.;er zuvor behauptet hatte, dass er nur mit drei Bällen jonglieren könne.
1879;1880;Liste1;32;24;f;deutsch;nein;rechts;20;2;<id: item 20, condition 2>;Die Verena vertraute dem Tobias wegen der stoischen Ruhe bei Not-OPs, weil;sie selbst ein eher hibbeliger Mensch ist.;1;subjekt;pers;;14055933209698.0;;;;;420;Verena vertraute Tobias wegen der stoischen Ruhe bei Not-OPs, weil;f;Verena;Tobia;es;vertraute;1;sie selbst ein eher hibbeliger Mensch ist.;er selbst in stressigen Situationen souverän und präzise handelte.
423;424;Liste2;8;25;f;deutsch;nein;rechts;4;3;<id: item 4, condition 3>;Der Martin beneidete die Saskia über jedes angemessene Maß hinaus, weil ;er der Meinung war, alles wäre ihr nur so zugeflogen.;1;subjekt;pers;;14055103473129.0;;;;;84;Martin beneidete Saskia über jedes angemessene Maß hinaus, weil;m;Martin;Saski;es;beneidete;4;er der Meinung war, alles wäre ihr nur so zugeflogen.;sie sowohl beruflich erfolgreich als auch privat glücklich war.
472;473;Liste2;8;25;f;deutsch;nein;rechts;53;2;<id: item 53, condition 2>;Die Rosa inspirierte den Thomas durch eine Vortragsreihe mit bahnbrechenden Erkenntnissen, weil ;diese Erkenntnisse vielleicht zu einem Durchbruch führen könnten.;0;;;;14055085834202.0;;;;;113;Rosa inspirierte Thomas durch eine Vortragsreihe mit bahnbrechenden Erkenntnissen, weil;f;Rosa;Thoma;se;inspirierte;1;diese Erkenntnisse vielleicht zu einem Durchbruch führen könnten.;sie neue Perspektiven aufzeigte, die seine bisherigen Annahmen in Frage stellten.
1;2;Liste4;1;24;m;deutsch;nein;rechts;2;3;<id: item 2, condition 3>;Der Sebastian bedauerte die Laura heute Morgen ganz außerordentlich, weil ;ihr Hund gestorben war.;0-poss;objekt;poss;;14055976044725.0;;;;;2;Sebastian bedauerte Laura heute Morgen ganz außerordentlich, weil;m;Sebastian;Laur;es;bedauerte;4;ihr Hund gestorben war.;sie ihren Zug verpasst hatte und wichtige Termine versäumte.
471;472;Liste2;8;25;f;deutsch;nein;rechts;52;3;<id: item 52, condition 3>;Der Benjamin faszinierte die Judith seit dem Betriebsfest auf eine besondere Art und Weise, weil ;er dort sehr viel Mut bewiesen hatte.;1;subjekt;pers;;14055092484157.0;;;;;112;Benjamin faszinierte Judith seit dem Betriebsfest auf eine besondere Art und Weise, weil;m;Benjamin;Judit;se;faszinierte;4;er dort sehr viel Mut bewiesen hatte.;er mit seiner charmanten Ausstrahlung und seinem intelligenten Humor alle in seinen Bann zog.
1905;1906;Liste1;32;24;f;deutsch;nein;rechts;46;4;<id: item 46, condition 4>;Die Marlene bezauberte den Timo auf fast schon magische Art und Weise, weil ;sie so umwerfend schön ist und Humor besitzt.;1;subjekt;pers;;14055942909687.0;1;subjekt;pers;;426;Marlene bezauberte Timo auf fast schon magische Art und Weise, weil;f;Marlene;Tim;se;bezauberte;3;sie so umwerfend schön ist und Humor besitzt.;ihre Ausstrahlung und ihr Charme unwiderstehlich waren.
