;Unnamed: 0.1;Unnamed: 0;participant;list;item;condition_id;verbclass;reference;NP1gender;prompt;cont;analyzable;word_order;anaphor_type;pers;name;filter_$;type;NP1;NP2;Koreferenz;Anaphorische Form;verb;AbstConc;Arou;IMG;Val
0;0;0;65.0;3.0;1.0;3.0;es;subject;m;Aaron achtete Kathrin in hohem Grade, weil;sie für ihm in schlechten Zeit viel geholfen hat;4.0;so;pers;;;Not Selected;Experiment;Aaron;Kathrin;NP2;personal;achtete;3.778;4.168;4.27;5.992
1;1;1;1.0;2.0;1.0;2.0;es;subject;f;Adele achtete Lukas in hohem Grade, weil;sie beeindruckt von seinem Auftreten war;5.0;so;pers;1.0;0.0;Selected;Experiment;Adele;Lukas;NP1;personal;achtete;3.778;4.168;4.27;5.992
2;2;2;11.0;2.0;1.0;2.0;es;subject;f;Adele achtete Lukas in hohem Grade, weil;sie immer zu ihm gehen kann, wenn sie Hilfe benötigt.;5.0;so;pers;1.0;0.0;Selected;Experiment;Adele;Lukas;NP1;personal;achtete;3.778;4.168;4.27;5.992
3;3;3;12.0;3.0;1.0;3.0;es;subject;m;Aaron achtete Kathrin in hohem Grade, weil;er nicht so intelligent war;5.0;so;pers;1.0;0.0;Selected;Experiment;Aaron;Kathrin;NP1;personal;achtete;3.778;4.168;4.27;5.992
4;4;4;13.0;2.0;1.0;2.0;es;subject;f;Adele achtete Lukas in hohem Grade, weil;sie ihn schätzte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Adele;Lukas;NP1;personal;achtete;3.778;4.168;4.27;5.992
5;5;5;14.0;3.0;1.0;3.0;es;subject;f;Aaron achtete Kathrin in hohem Grade, weil;er sehr begeistert von ihr ist.;5.0;so;pers;1.0;0.0;Selected;Experiment;Aaron;Kathrin;NP2;personal;achtete;3.778;4.168;4.27;5.992
6;6;6;20.0;3.0;1.0;3.0;es;subject;f;Aaron achtete Kathrin in hohem Grade, weil;er ihre Arbeit sehr schätzte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Aaron;Kathrin;NP2;personal;achtete;3.778;4.168;4.27;5.992
7;7;7;61.0;2.0;1.0;2.0;es;subject;f;Adele achtete Lukas in hohem Grade, weil;sie seine Arbeit sehr schätzte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Adele;Lukas;NP1;personal;achtete;3.778;4.168;4.27;5.992
8;8;8;5.0;4.0;2.0;3.0;es;subject;f;Albert bedauerte Laura aus tiefstem Herzen, weil;er sie liebte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Albert;Laura;NP2;personal;bedauerte;2.273;4.445;3.895;4.375
9;9;9;12.0;3.0;2.0;2.0;es;subject;m;Aisha bedauerte Jörg aus tiefstem Herzen, weil;sie sein Verlust nicht sehen konnte;5.0;so;pers;1.0;0.0;Selected;Experiment;Aisha;Jörg;NP2;personal;bedauerte;2.273;4.445;3.895;4.375
10;10;10;14.0;3.0;2.0;2.0;es;subject;f;Aisha bedauerte Jörg aus tiefstem Herzen, weil;sie schon immer empathisch wart.;5.0;so;pers;1.0;0.0;Selected;Experiment;Aisha;Jörg;NP1;personal;bedauerte;2.273;4.445;3.895;4.375
11;11;11;18.0;4.0;2.0;3.0;es;subject;m;Albert bedauerte Laura aus tiefstem Herzen, weil;er ein großes Herz hat,;5.0;so;pers;1.0;0.0;Selected;Experiment;Albert;Laura;NP1;personal;bedauerte;2.273;4.445;3.895;4.375
12;12;12;20.0;3.0;2.0;2.0;es;subject;f;Aisha bedauerte Jörg aus tiefstem Herzen, weil;sie verstand, warum er traurig war.;5.0;so;pers;1.0;0.0;Selected;Experiment;Aisha;Jörg;NP1;personal;bedauerte;2.273;4.445;3.895;4.375
13;13;13;27.0;4.0;2.0;3.0;es;subject;m;Albert bedauerte Laura aus tiefstem Herzen, weil;er alles nachfühlen konnte;5.0;so;pers;1.0;0.0;Selected;Experiment;Albert;Laura;NP1;personal;bedauerte;2.273;4.445;3.895;4.375
14;14;14;31.0;4.0;2.0;3.0;es;subject;m;Albert bedauerte Laura aus tiefstem Herzen, weil;er selbst schon ähnliches durchgemacht hatte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Albert;Laura;NP1;personal;bedauerte;2.273;4.445;3.895;4.375
15;15;15;65.0;3.0;2.0;2.0;es;subject;f;Aisha bedauerte Jörg aus tiefstem Herzen, weil;sie von seiner Kündigung erfahren hat;5.0;so;pers;1.0;0.0;Selected;Experiment;Aisha;Jörg;NP1;personal;bedauerte;2.273;4.445;3.895;4.375
