con;np1;np2;female;cat;verb;prompt;continuation
weil;Sebastian;Annika;False;stim-exp;beeindruckte;Sebastian beeindruckte Annika, weil;"Sebastian beeindruckte Annika, weil sie sich in der Lage sah, sich in die Lage der anderen zu versetzen.
Sie"
weil;Sebastian;Annika;False;stim-exp;enttäuschte;Sebastian enttäuschte Annika, weil;"Sebastian enttäuschte Annika, weil sie die ersten beiden Sätze mit 6:1, 6:1 gewann.
Im dritten"
weil;Sebastian;Annika;False;stim-exp;inspirierte;Sebastian inspirierte Annika, weil;"Sebastian inspirierte Annika, weil sie sich mit ihrem Mann und ihren beiden Kindern in der Nähe von Berlin aufhielt.
"
weil;Sebastian;Annika;False;stim-exp;langweilte;Sebastian langweilte Annika, weil;"Sebastian langweilte Annika, weil sie nicht wusste, wie sie sich verhalten sollte.
Sie war sich nicht sicher, ob"
weil;Sebastian;Annika;False;stim-exp;verblüffte;Sebastian verblüffte Annika, weil;Sebastian verblüffte Annika, weil sie mit ihrem Mann und ihren zwei Kindern in einem kleinen Dorf in der Nähe von Hamburg lebt
weil;Sebastian;Annika;False;stim-exp;amüsierte;Sebastian amüsierte Annika, weil;"Sebastian amüsierte Annika, weil er sie nicht nur als seine Tochter, sondern auch als seine Frau ansah.
Sie"
weil;Sebastian;Annika;False;stim-exp;ängstigte;Sebastian ängstigte Annika, weil;"Sebastian ängstigte Annika, weil sie sich nicht mehr an die Regeln hielt.
Sie wurde von der Polizei in Gewahrsam genommen"
weil;Sebastian;Annika;False;stim-exp;begeisterte;Sebastian begeisterte Annika, weil;"Sebastian begeisterte Annika, weil sie sich in der Gruppe wohlfühlte.
„Ich habe mich sehr wohl gefühlt“,"
weil;Sebastian;Annika;False;stim-exp;bezauberte;Sebastian bezauberte Annika, weil;"Sebastian bezauberte Annika, weil sie sich so gut in ihn hineinversetzen konnte.
Sie war so nett, dass"
weil;Sebastian;Annika;False;stim-exp;entzückte;Sebastian entzückte Annika, weil;"Sebastian entzückte Annika, weil sie sich so gut in ihn hineinversetzen konnte.
Sie war so nett, dass"
weil;Sebastian;Annika;False;stim-exp;erschreckte;Sebastian erschreckte Annika, weil;"Sebastian erschreckte Annika, weil er sie mit einem Messer bedroht hatte.
Die Polizei nahm den Mann fest.
Die"
weil;Sebastian;Annika;False;stim-exp;erschütterte;Sebastian erschütterte Annika, weil;"Sebastian erschütterte Annika, weil sie nicht mehr wusste, was sie tun sollte.
Sie hatte sich in der Nacht zum"
weil;Sebastian;Annika;False;stim-exp;erstaunte;Sebastian erstaunte Annika, weil;"Sebastian erstaunte Annika, weil sie sich nicht nur für die Kinder, sondern auch für die Eltern einsetzte.
„Ich"
weil;Sebastian;Annika;False;stim-exp;faszinierte;Sebastian faszinierte Annika, weil;"Sebastian faszinierte Annika, weil sie sich in der Gruppe wohlfühlt.
Sie hat sich in der Gruppe wohl gefühlt."
weil;Sebastian;Annika;False;stim-exp;irritierte;Sebastian irritierte Annika, weil;"Sebastian irritierte Annika, weil sie sich nicht an die Regeln hielt.
Sie wurde von der Polizei in Gewahrsam genommen."
weil;Sebastian;Annika;False;stim-exp;schockierte;Sebastian schockierte Annika, weil;"Sebastian schockierte Annika, weil sie nicht wusste, dass sie schwanger war.
Sie hatte keine Ahnung, dass sie schwanger"
weil;Sebastian;Annika;False;stim-exp;störte;Sebastian störte Annika, weil;"Sebastian störte Annika, weil sie sich nicht an die Regeln hielt.
Sie wurde von der Polizei in Gewahrsam genommen."
weil;Sebastian;Annika;False;stim-exp;überraschte;Sebastian überraschte Annika, weil;"Sebastian überraschte Annika, weil sie sich in der Schule nicht so gut benahm.
Sie hat sich in der Schule"
weil;Sebastian;Annika;False;stim-exp;verwirrte;Sebastian verwirrte Annika, weil;"Sebastian verwirrte Annika, weil sie sich nicht mehr an die Zeit vor dem Unfall erinnern konnte.
Sie hatte sich in"
weil;Sebastian;Annika;False;exp-stim;bewunderte;Sebastian bewunderte Annika, weil;"Sebastian bewunderte Annika, weil sie sich so gut in ihn hineinversetzen konnte.
Sie war eine sehr gute Schülerin"
weil;Sebastian;Annika;False;exp-stim;fürchtete;Sebastian fürchtete Annika, weil;"Sebastian fürchtete Annika, weil sie sich nicht mehr an die Regeln halten würde.
Sie hatte sich in der Vergangenheit immer"
weil;Sebastian;Annika;False;exp-stim;sorgte sich um;Sebastian sorgte sich um Annika, weil;"Sebastian sorgte sich um Annika, weil sie sich nicht mehr an die Regeln hielt.
Die beiden waren sich einig, dass sie"
weil;Sebastian;Annika;False;exp-stim;verachtete;Sebastian verachtete Annika, weil;"Sebastian verachtete Annika, weil sie sich nicht mit dem Thema Homosexualität auseinandersetzte.
Sie war die einzige, die sich"
weil;Sebastian;Annika;False;exp-stim;vertraute;Sebastian vertraute Annika, weil;"Sebastian vertraute Annika, weil es ihr sehr gut gefällt, dass sie sich so gut in die Gruppe einfügt.
"
weil;Sebastian;Annika;False;exp-stim;achtete;Sebastian achtete Annika, weil;"Sebastian achtete Annika, weil sie die erste Frau in der Geschichte des deutschen Handballs ist.
Die 24-Jährige"
weil;Sebastian;Annika;False;exp-stim;bedauerte;Sebastian bedauerte Annika, weil;"Sebastian bedauerte Annika, weil sie sich nicht an die Regeln gehalten habe.
""Ich habe mich nicht an die Regeln"
weil;Sebastian;Annika;False;exp-stim;bemitleidete;Sebastian bemitleidete Annika, weil;"Sebastian bemitleidete Annika, weil er sie mit einem Messer bedroht hatte.
Die Polizei nahm den Mann fest.
Die"
weil;Sebastian;Annika;False;exp-stim;ekelte sich vor;Sebastian ekelte sich vor Annika, weil;"Sebastian ekelte sich vor Annika, weil sie sich nicht mehr an die Regeln hielt.
Sie wurde von der Polizei in Gewahrsam genommen"
weil;Sebastian;Annika;False;exp-stim;hasste;Sebastian hasste Annika, weil;"Sebastian hasste Annika, weil er sie als „unehrlich“ und „unehrlich“ empfand.
"
weil;Sebastian;Annika;False;exp-stim;liebte;Sebastian liebte Annika, weil;"Sebastian liebte Annika, weil sie sie liebte.
Sie liebte ihn, weil sie ihn liebte.
Sie liebte ihn"
weil;Sebastian;Annika;False;exp-stim;misstraute;Sebastian misstraute Annika, weil;"Sebastian misstraute Annika, weil sie nicht wusste, was sie tun sollte.
Sie war sich nicht sicher, ob sie"
weil;Sebastian;Annika;False;exp-stim;mochte;Sebastian mochte Annika, weil;"Sebastian mochte Annika, weil ich sie mochte.
Ich mochte sie, weil ich sie mochte.
Ich mochte sie"
weil;Sebastian;Annika;False;exp-stim;respektierte;Sebastian respektierte Annika, weil;"Sebastian respektierte Annika, weil sie sich in der Vergangenheit immer wieder für die Belange der Kinder eingesetzt hat.
„Ich"
weil;Sebastian;Annika;False;exp-stim;schätzte;Sebastian schätzte Annika, weil;Sebastian schätzte Annika, weil sie sich in der Schule gut benahm und sie sich in der Schule gut benahm.
weil;Sebastian;Annika;False;exp-stim;verabscheute;Sebastian verabscheute Annika, weil;"Sebastian verabscheute Annika, weil die ihn als „unverschämt“ und „unehrlich“ empfand.
"
weil;Sebastian;Annika;False;exp-stim;verehrte;Sebastian verehrte Annika, weil;"Sebastian verehrte Annika, weil sie sich mit ihrem Mann und ihren beiden Kindern in der Nähe von Berlin aufhielt.
"
weil;Sebastian;Annika;False;exp-stim;vergötterte;Sebastian vergötterte Annika, weil;"Sebastian vergötterte Annika, weil sie sich so gut in ihn hineinversetzen konnte.
Sie war eine sehr gute Schülerin"
weil;Sebastian;Annika;False;exp-stim;vermisste;Sebastian vermisste Annika, weil;Sebastian vermisste Annika, weil sie sich nicht mehr an die Zeit erinnern konnte, als sie noch bei der Familie war.
weil;Daniel;Laura;False;stim-exp;beeindruckte;Daniel beeindruckte Laura, weil;Daniel beeindruckte Laura, weil sie sich in der Lage fühlte, sich in die Welt der Menschen hineinzuversetzen.
weil;Daniel;Laura;False;stim-exp;enttäuschte;Daniel enttäuschte Laura, weil;"Daniel enttäuschte Laura, weil sie nicht wusste, wie sie sich verhalten sollte.
Sie war nicht in der Lage,"
weil;Daniel;Laura;False;stim-exp;inspirierte;Daniel inspirierte Laura, weil;"Daniel inspirierte Laura, weil sie eine Frau war, die sich für die Rechte der Frauen einsetzte.
Sie war eine"
weil;Daniel;Laura;False;stim-exp;langweilte;Daniel langweilte Laura, weil;"Daniel langweilte Laura, weil sie nicht wusste, was sie tun sollte.
Sie war nicht in der Lage, sich"
weil;Daniel;Laura;False;stim-exp;verblüffte;Daniel verblüffte Laura, weil;"Daniel verblüffte Laura, weil er ihr sagte, dass er sich nicht an die Regeln halten würde.
Er sagte,"
weil;Daniel;Laura;False;stim-exp;amüsierte;Daniel amüsierte Laura, weil;"Daniel amüsierte Laura, weil er sie mit einem Mann betrogen hatte.
Laura war so wütend, dass sie ihn mit"
weil;Daniel;Laura;False;stim-exp;ängstigte;Daniel ängstigte Laura, weil;"Daniel ängstigte Laura, weil er sie nicht mochte.
Laura war sehr wütend, weil er sie nicht mochte.
"
weil;Daniel;Laura;False;stim-exp;begeisterte;Daniel begeisterte Laura, weil;"Daniel begeisterte Laura, weil sie so viel Spaß an der Arbeit mit den Kindern hatte.
Sie war sehr motiviert und"
weil;Daniel;Laura;False;stim-exp;bezauberte;Daniel bezauberte Laura, weil;"Daniel bezauberte Laura, weil sie so schön war.
Sie war so schön, weil sie so schön war.
"
weil;Daniel;Laura;False;stim-exp;entzückte;Daniel entzückte Laura, weil;Daniel entzückte Laura, weil sie die ganze Zeit über die ganze Zeit über die ganze Zeit über die ganze Zeit über die
weil;Daniel;Laura;False;stim-exp;erschreckte;Daniel erschreckte Laura, weil;"Daniel erschreckte Laura, weil er ihr sagte, dass er sie vergewaltigen würde.
Er sagte, dass er sie"
weil;Daniel;Laura;False;stim-exp;erschütterte;Daniel erschütterte Laura, weil;"Daniel erschütterte Laura, weil er sie mit einem Messer bedroht hatte.
Die Polizei nahm den Mann fest.
Die"
weil;Daniel;Laura;False;stim-exp;erstaunte;Daniel erstaunte Laura, weil;"Daniel erstaunte Laura, weil er sie nicht nur als seine Tochter, sondern auch als seine Frau betrachtete.
Laura war"
weil;Daniel;Laura;False;stim-exp;faszinierte;Daniel faszinierte Laura, weil;"Daniel faszinierte Laura, weil sie sich in ihr Herz verliebt hatte.
Sie war eine sehr gute Schülerin, die sich"
weil;Daniel;Laura;False;stim-exp;irritierte;Daniel irritierte Laura, weil;"Daniel irritierte Laura, weil sie sich nicht an die Regeln hielt.
Sie wurde von der Polizei in Gewahrsam genommen."
weil;Daniel;Laura;False;stim-exp;schockierte;Daniel schockierte Laura, weil;"Daniel schockierte Laura, weil sie nicht wusste, dass sie schwanger war.
Sie war sich nicht sicher, ob sie"
weil;Daniel;Laura;False;stim-exp;störte;Daniel störte Laura, weil;"Daniel störte Laura, weil sie sich nicht an die Regeln hielt.
Sie wurde von der Polizei festgenommen.
Die"
weil;Daniel;Laura;False;stim-exp;überraschte;Daniel überraschte Laura, weil;"Daniel überraschte Laura, weil sie sich in der Schule nicht so gut benahm wie sie es sich gewünscht hatte.
"
weil;Daniel;Laura;False;stim-exp;verwirrte;Daniel verwirrte Laura, weil;"Daniel verwirrte Laura, weil sie nicht wusste, was sie tun sollte.
Sie war sich nicht sicher, ob sie"
weil;Daniel;Laura;False;exp-stim;bewunderte;Daniel bewunderte Laura, weil;"Daniel bewunderte Laura, weil sie so schön war.
Sie war so schön, weil sie so schön war.
"
weil;Daniel;Laura;False;exp-stim;fürchtete;Daniel fürchtete Laura, weil;"Daniel fürchtete Laura, weil sie sich nicht mehr an die Regeln halten würde.
Doch Laura war nicht die Einzige,"
weil;Daniel;Laura;False;exp-stim;sorgte sich um;Daniel sorgte sich um Laura, weil;"Daniel sorgte sich um Laura, weil er sie nicht mehr sehen wollte.
""Ich habe sie nicht mehr gesehen"", sagte er"
weil;Daniel;Laura;False;exp-stim;verachtete;Daniel verachtete Laura, weil;"Daniel verachtete Laura, weil sie sich in ihn verliebt hatte.
Er wollte sie nicht mehr haben.
Laura war"
weil;Daniel;Laura;False;exp-stim;vertraute;Daniel vertraute Laura, weil;"Daniel vertraute Laura, weil sie sich nicht mehr an die Zeit erinnern konnte, als sie noch bei ihr wohnte.
"
weil;Daniel;Laura;False;exp-stim;achtete;Daniel achtete Laura, weil;"Daniel achtete Laura, weil sie nicht wusste, dass sie schwanger war.
Sie war nicht in der Lage, die"
weil;Daniel;Laura;False;exp-stim;bedauerte;Daniel bedauerte Laura, weil;"Daniel bedauerte Laura, weil sie nicht in der Lage war, die Prüfung zu bestehen.
Sie sagte, dass sie"
weil;Daniel;Laura;False;exp-stim;bemitleidete;Daniel bemitleidete Laura, weil;Daniel bemitleidete Laura, weil sie sich in der Schule nicht wohl fühlte, und die anderen Mädchen, weil sie sich nicht
weil;Daniel;Laura;False;exp-stim;ekelte sich vor;Daniel ekelte sich vor Laura, weil;"Daniel ekelte sich vor Laura, weil er sie nicht mochte.
Er war so wütend, dass er sie nicht mehr mochte."
weil;Daniel;Laura;False;exp-stim;hasste;Daniel hasste Laura, weil;"Daniel hasste Laura, weil sie nicht wusste, was sie wollte.
Sie war nicht in der Lage, die Dinge"
weil;Daniel;Laura;False;exp-stim;liebte;Daniel liebte Laura, weil;"Daniel liebte Laura, weil sie sie liebte.
Sie liebte sie, weil sie sie liebte.
Sie liebte sie"
weil;Daniel;Laura;False;exp-stim;misstraute;Daniel misstraute Laura, weil;Daniel misstraute Laura, weil sie sich nicht sicher war, ob sie sich nicht doch noch in den Kopf gesetzt hatte,
weil;Daniel;Laura;False;exp-stim;mochte;Daniel mochte Laura, weil;"Daniel mochte Laura, weil sie sie liebte.
Sie liebte sie, weil sie sie liebte.
Sie liebte sie"
