con;np1;np2;female;cat;verb;prompt;continuation
;Sebastian;Annika;False;stim-exp;beeindruckte;Sebastian beeindruckte Annika,;Sebastian beeindruckte Annika, die sich in der ersten Runde mit 2:6, 6:3, 6:4 gegen die Russin Anastasia Se
;Sebastian;Annika;False;stim-exp;enttäuschte;Sebastian enttäuschte Annika,;Sebastian enttäuschte Annika, die sich in der ersten Runde mit 2:6, 6:7 (6:8) gegen die an Nummer zwei ges
;Sebastian;Annika;False;stim-exp;inspirierte;Sebastian inspirierte Annika,;"Sebastian inspirierte Annika, ihre eigene Geschichte zu erzählen.
Sie erzählt, wie sie als Kind von einem Mann missbraucht wurde.
Sie erzählt, wie"
;Sebastian;Annika;False;stim-exp;langweilte;Sebastian langweilte Annika,;Sebastian langweilte Annika, die sich in der Klasse von der Klasse von der Klasse von der Klasse von der Klasse von der Klasse von der Klasse von der
;Sebastian;Annika;False;stim-exp;verblüffte;Sebastian verblüffte Annika,;"Sebastian verblüffte Annika, als sie sich auf den Weg nach Hause machte.
Sie hatte sich gerade von ihrem Mann getrennt und wollte sich mit ihm in"
;Sebastian;Annika;False;stim-exp;amüsierte;Sebastian amüsierte Annika,;Sebastian amüsierte Annika, als sie sich in den Kopf schoss, als sie sich in den Kopf schoss, als sie sich in den Kopf schoss, als
;Sebastian;Annika;False;stim-exp;ängstigte;Sebastian ängstigte Annika,;"Sebastian ängstigte Annika, die sich gerade auf dem Weg nach Hause befand, als sie von einem Mann angesprochen wurde.
Sie fragte ihn, ob er"
;Sebastian;Annika;False;stim-exp;begeisterte;Sebastian begeisterte Annika,;Sebastian begeisterte Annika, die sich in der letzten Saison noch in der U19-Bundesliga für die U19-Bundesliga-Mannschaft des FC Bayern München
;Sebastian;Annika;False;stim-exp;bezauberte;Sebastian bezauberte Annika,;Sebastian bezauberte Annika, die sich in der Rolle der „Mia“ in „Die kleine Meerjungfrau“ in der Rolle der „Mia
;Sebastian;Annika;False;stim-exp;entzückte;Sebastian entzückte Annika,;"Sebastian entzückte Annika, die sich in der letzten Saison noch in der U19-Bundesliga für die U19-Bundesliga-Mannschaft des 1.
"
;Sebastian;Annika;False;stim-exp;erschreckte;Sebastian erschreckte Annika,;"Sebastian erschreckte Annika, als sie von einem Mann angesprochen wurde, der ihr die Handtasche wegnehmen wollte.
Der Mann hatte sich in der Nähe"
;Sebastian;Annika;False;stim-exp;erschütterte;Sebastian erschütterte Annika,;"Sebastian erschütterte Annika, die sich gerade auf dem Weg nach Hause befand, als sie plötzlich von einem Mann umringt wurde.
Sie konnte sich nicht"
;Sebastian;Annika;False;stim-exp;erstaunte;Sebastian erstaunte Annika,;"Sebastian erstaunte Annika, dass sie sich nicht nur für die Arbeit in der Schule interessiert, sondern auch für die Arbeit in der Kirche.
Sie hat"
;Sebastian;Annika;False;stim-exp;faszinierte;Sebastian faszinierte Annika,;"Sebastian faszinierte Annika, und so war es nur eine Frage der Zeit, bis sie sich für den nächsten Schritt entschied.
„Ich wollte unbedingt ein"
;Sebastian;Annika;False;stim-exp;irritierte;Sebastian irritierte Annika,;"Sebastian irritierte Annika, dass er sich nicht an die Regeln gehalten hat.
„Ich habe mich nicht an die Regeln gehalten“, sagte sie.
"
;Sebastian;Annika;False;stim-exp;schockierte;Sebastian schockierte Annika,;"Sebastian schockierte Annika, die sich in der letzten Saison noch für die U19 des FC Bayern München in der Bundesliga und der 2.
Bundesliga empfohlen"
;Sebastian;Annika;False;stim-exp;störte;Sebastian störte Annika,;"Sebastian störte Annika, dass die beiden sich nicht kannten.
Sie war erst 16 Jahre alt, als sie sich in den Teenager verliebte.
"
;Sebastian;Annika;False;stim-exp;überraschte;Sebastian überraschte Annika,;"Sebastian überraschte Annika, die sich in der letzten Saison noch für die U19 des FC Bayern München in der Bundesliga und der 2.
Bundesliga empfohlen"
;Sebastian;Annika;False;stim-exp;verwirrte;Sebastian verwirrte Annika,;"Sebastian verwirrte Annika, die sich mit ihrem Freund auf eine Reise nach Paris aufmacht, um dort die Liebe ihres Lebens zu finden.
Doch die"
;Sebastian;Annika;False;exp-stim;bewunderte;Sebastian bewunderte Annika,;"Sebastian bewunderte Annika, als sie ihn zum ersten Mal sah.
„Ich habe ihn schon immer geliebt“, sagt sie.
„Er ist ein"
;Sebastian;Annika;False;exp-stim;fürchtete;Sebastian fürchtete Annika,;"Sebastian fürchtete Annika, dass sie sich mit dem neuen Partner nicht wohlfühlen würde.
„Ich habe mich sehr gut eingelebt“, sagt sie."
;Sebastian;Annika;False;exp-stim;sorgte sich um;Sebastian sorgte sich um Annika,;"Sebastian sorgte sich um Annika, die in der vergangenen Saison für den FCK spielte.
Die 19-Jährige war in der vergangenen Saison für den FCK"
;Sebastian;Annika;False;exp-stim;verachtete;Sebastian verachtete Annika,;"Sebastian verachtete Annika, weil sie sich nicht mit dem Thema Homosexualität auseinandersetzte.
Sie war die einzige, die sich mit dem Thema auseinandersetzte."
;Sebastian;Annika;False;exp-stim;vertraute;Sebastian vertraute Annika,;"Sebastian vertraute Annika, die im Sommer 2017 von der SG Sonnenhof Großaspach ausgeliehen wurde, auf der linken Seite.
Die 24-Jährige"
;Sebastian;Annika;False;exp-stim;achtete;Sebastian achtete Annika,;"Sebastian achtete Annika, die sich in der letzten Saison noch für die U19-Nationalmannschaft des DFB qualifiziert hatte, auf die Defensive.
„Wir"
;Sebastian;Annika;False;exp-stim;bedauerte;Sebastian bedauerte Annika,;"Sebastian bedauerte Annika, dass sie nicht mehr dabei sein konnte.
„Ich habe mich sehr gefreut, dass ich noch einmal dabei sein konnte.
"
;Sebastian;Annika;False;exp-stim;bemitleidete;Sebastian bemitleidete Annika,;"Sebastian bemitleidete Annika, die sich mit ihrem Freund auf eine Reise nach Paris begibt, um dort die Liebe ihres Lebens zu finden.
Doch die beiden"
;Sebastian;Annika;False;exp-stim;ekelte sich vor;Sebastian ekelte sich vor Annika,;"Sebastian ekelte sich vor Annika, als sie ihn ansprach.
Sie war so wütend, dass sie ihn ansprach.
Sie sagte: „Ich habe"
;Sebastian;Annika;False;exp-stim;hasste;Sebastian hasste Annika,;"Sebastian hasste Annika, sie war eine sehr gute Schülerin.
Sie war sehr nett und hilfsbereit.
Sie war sehr gut in der Schule und"
;Sebastian;Annika;False;exp-stim;liebte;Sebastian liebte Annika,;"Sebastian liebte Annika, die er in der Schule kannte.
Sie war eine sehr gute Schülerin, die er in der Schule kannte.
Sie war"
;Sebastian;Annika;False;exp-stim;misstraute;Sebastian misstraute Annika,;"Sebastian misstraute Annika, da sie nicht wusste, was sie tun sollte.
Sie war sich nicht sicher, ob sie sich in der Lage fühlte,"
;Sebastian;Annika;False;exp-stim;mochte;Sebastian mochte Annika,;"Sebastian mochte Annika, die sich sehr gut in ihn hineinversetzen konnte.
Sie war eine sehr sympathische und sympathische Person, die sich"
