con;np1;np2;female;cat;verb;prompt;continuation
weil;Sebastian;Annika;False;stim-exp;beeindruckte;Sebastian beeindruckte Annika, weil;Sebastian beeindruckte Annika, weil er ihr die Möglichkeit gab, sich selbst zu entdecken.
weil;Sebastian;Annika;False;stim-exp;enttäuschte;Sebastian enttäuschte Annika, weil;Sebastian enttäuschte Annika, weil sie nicht mehr mit ihm zusammen sein wollte.
weil;Sebastian;Annika;False;stim-exp;inspirierte;Sebastian inspirierte Annika, weil;Sebastian inspirierte Annika, weil er ein sehr guter Schauspieler ist.
weil;Sebastian;Annika;False;stim-exp;langweilte;Sebastian langweilte Annika, weil;Sebastian langweilte Annika, weil sie sich nicht mehr an ihn gewöhnen konnte.
weil;Sebastian;Annika;False;stim-exp;verblüffte;Sebastian verblüffte Annika, weil;Sebastian verblüffte Annika, weil die beiden sich so gut verstanden.
weil;Sebastian;Annika;False;stim-exp;amüsierte;Sebastian amüsierte Annika, weil;Sebastian amüsierte Annika, weil es ihr so gut gefallen hat.
weil;Sebastian;Annika;False;stim-exp;ängstigte;Sebastian ängstigte Annika, weil;Sebastian ängstigte Annika, weil sie nicht wusste, wie sie das anstellen sollte.
weil;Sebastian;Annika;False;stim-exp;begeisterte;Sebastian begeisterte Annika, weil;Sebastian begeisterte Annika, weil er ihr die Möglichkeit gab, sich selbst zu entdecken.
weil;Sebastian;Annika;False;stim-exp;bezauberte;Sebastian bezauberte Annika, weil;Sebastian bezauberte Annika, weil sie sich so sehr für ihn interessierte.
weil;Sebastian;Annika;False;stim-exp;entzückte;Sebastian entzückte Annika, weil;Sebastian entzückte Annika, weil sie sich so sehr für ihn interessierte.
weil;Sebastian;Annika;False;stim-exp;erschreckte;Sebastian erschreckte Annika, weil;Sebastian erschreckte Annika, weil sie nicht wusste, wie sie reagieren sollte.
weil;Sebastian;Annika;False;stim-exp;erschütterte;Sebastian erschütterte Annika, weil;Sebastian erschütterte Annika, weil sie nicht mehr wusste, was sie tun sollte.
weil;Sebastian;Annika;False;stim-exp;erstaunte;Sebastian erstaunte Annika, weil;Sebastian erstaunte Annika, weil sie nicht wusste, wie sie das anstellen sollte.
