condition;type;prompt;cont;NP1;NP2;NP1gender;verb;verbclass;forced;Koreferenz;Anaphorische Form
2;Experiment;Annika ekelte sich vor Kevin schon eine ganze Weile, weil;"Annika ihn nicht mochte.
Doch dann kam Kevin und";Annika;Kevin;f;ekelte sich vor;es;NP1;NP1;Eigenname
2;Experiment;Jacqueline liebte Michael von ganzem Herzen, weil;"Jacqueline ihn so sehr liebte.
Er war ein";Jacqueline;Michael;f;liebte;es;NP1;NP1;Eigenname
2;Experiment;Vivien mochte Stefan ganz besonders gerne, weil;Vivien sich sehr gut in ihn hineinversetzen konnte.;Vivien;Stefan;f;mochte;es;NP1;NP1;Eigenname
2;Experiment;Janine fürchtete Julian ein kleines bisschen, weil;"Janine ihn nicht mochte.
Julian hatte Julians";Janine;Julian;f;fürchtete;es;NP1;NP1;Eigenname
2;Experiment;Janine verabscheute Julian schon seit Wochen, weil;"Janine ihn nicht mochte.
Julian hatte sich in";Janine;Julian;f;verabscheute;es;NP1;NP1;Eigenname
2;Experiment;Natalie schätzte Andreas ganz besonders hoch, weil;"Natalie so sehr von ihm abhängig war.
Sie war";Natalie;Andreas;f;schätzte;es;NP1;NP1;Eigenname
2;Experiment;Vivien bedauerte Stefan aus tiefstem Herzen, weil;"Vivien ihn so sehr liebte.
Sie war eine sehr";Vivien;Stefan;f;bedauerte;es;NP1;NP1;Eigenname
2;Experiment;Luisa beneidete Marco, ohne es offen zu zeigen, weil;"Luisa ihn nicht mochte.
Luisa war eine sehr";Luisa;Marco;f;beneidete;es;NP1;NP1;Eigenname
2;Experiment;Carolin bedauerte Andre aus tiefstem Herzen, weil;"Carolin sich so sehr für ihn eingesetzt hatte.
Sie";Carolin;Andre;f;bedauerte;es;NP1;NP1;Eigenname
2;Experiment;Alina hasste Lars bis aufs Blut, weil;"Alina ihn nicht mochte.
Doch dann wurde Alina";Alina;Lars;f;hasste;es;NP1;NP1;Eigenname
3;Experiment;Sascha hasste Antonia bis aufs Blut, weil;"er sie nicht mochte.
Er war ein großer Fan von";Sascha;Antonia;m;hasste;es;NP1;NP1;personal
3;Experiment;Lars verabscheute Natalie schon seit Wochen, weil;"er sie nicht mochte.
Doch als er sie in der";Lars;Natalie;m;verabscheute;es;NP1;NP1;personal
3;Experiment;Julian verachtete Jessica aufs Tiefste, weil;"er sie nicht mochte.
Er war ein großer Fan von";Julian;Jessica;m;verachtete;es;NP1;NP1;personal
3;Experiment;Steffen hasste Franziska bis aufs Blut, weil;"er sie nicht mochte.
Er wollte sie heiraten.
";Steffen;Franziska;m;hasste;es;NP1;NP1;personal
3;Experiment;Christopher hasste Melina bis aufs Blut, weil;"er sie nicht mochte.
Er wollte sie nicht, weil";Christopher;Melina;m;hasste;es;NP1;NP1;personal
3;Experiment;Timo verabscheute Lisa schon seit Wochen, weil;"er sie nicht mochte.
Doch als er sie in der";Timo;Lisa;m;verabscheute;es;NP1;NP1;personal
3;Experiment;Christopher verabscheute Melina schon seit Wochen, weil;"er sie für eine Hexe hielt.
Doch als er sie";Christopher;Melina;m;verabscheute;es;NP1;NP1;personal
3;Experiment;Christopher verachtete Melina aufs Tiefste, weil;"er sie für eine Hexe hielt.
Melina war eine";Christopher;Melina;m;verachtete;es;NP1;NP1;personal
3;Experiment;Niels ekelte sich vor Katharina schon eine ganze Weile, weil;"Niels sie nicht mehr mochte.
Katharina hatte sich schon";Niels;Katharina;m;ekelte sich vor;es;NP1;NP1;Eigenname
3;Experiment;Christopher verabscheute Hannah schon seit Wochen, weil;er sie für eine „unmoralische“ Frau hielt.;Christopher;Hannah;m;verabscheute;es;NP1;NP1;personal
6;Experiment;Annika bezauberte Kevin über alle Maßen, weil;"Annika so eine tolle Freundin ist.
Kevin war sehr";Annika;Kevin;f;bezauberte;se;NP1;NP1;Eigenname
6;Experiment;Luisa amüsierte Marco, ohne es zu wollen, weil;"Luisa ihn nicht mochte.
Marco war der Meinung,";Luisa;Marco;f;amüsierte;se;NP1;NP1;Eigenname
