con;np1;np2;female;cat;verb;prompt;continuation
;Sebastian;Annika;False;stim-exp;beeindruckte;Sebastian beeindruckte Annika,;Sebastian beeindruckte Annika, dass sie sich für ihn interessierte.
;Sebastian;Annika;False;stim-exp;enttäuschte;Sebastian enttäuschte Annika,;Sebastian enttäuschte Annika, dass sie nicht mehr mit ihm zusammen sein konnte.
;Sebastian;Annika;False;stim-exp;inspirierte;Sebastian inspirierte Annika,;Sebastian inspirierte Annika, ihren Mann zu heiraten.
;Sebastian;Annika;False;stim-exp;langweilte;Sebastian langweilte Annika,;Sebastian langweilte Annika, als sie ihn mit einem Blick ansah.
;Sebastian;Annika;False;stim-exp;verblüffte;Sebastian verblüffte Annika,;Sebastian verblüffte Annika, wie schnell sie sich von ihm verabschieden konnte.
;Sebastian;Annika;False;stim-exp;amüsierte;Sebastian amüsierte Annika,;Sebastian amüsierte Annika, als sie ihr erstes Mal mit einem Mann hatte.
;Sebastian;Annika;False;stim-exp;ängstigte;Sebastian ängstigte Annika,;Sebastian ängstigte Annika, die sich in der Küche aufhielt.
;Sebastian;Annika;False;stim-exp;begeisterte;Sebastian begeisterte Annika,;Sebastian begeisterte Annika, als sie ihn in der Schule kennenlernte.
;Sebastian;Annika;False;stim-exp;bezauberte;Sebastian bezauberte Annika,;Sebastian bezauberte Annika, die sich von ihm angezogen fühlte.
;Sebastian;Annika;False;stim-exp;entzückte;Sebastian entzückte Annika,;Sebastian entzückte Annika, als sie ihn sah.
;Sebastian;Annika;False;stim-exp;erschreckte;Sebastian erschreckte Annika,;Sebastian erschreckte Annika, als sie ihn ansprach.
;Sebastian;Annika;False;stim-exp;erschütterte;Sebastian erschütterte Annika,;Sebastian erschütterte Annika, dass er sie nicht mehr sehen konnte.
;Sebastian;Annika;False;stim-exp;erstaunte;Sebastian erstaunte Annika,;Sebastian erstaunte Annika, als sie die Tür zu ihrer Wohnung öffnete.
;Sebastian;Annika;False;stim-exp;faszinierte;Sebastian faszinierte Annika,;Sebastian faszinierte Annika, denn er war ein Mann, der sich für die Menschen einsetzte, die er liebte. Er war ein Mann, der
;Sebastian;Annika;False;stim-exp;irritierte;Sebastian irritierte Annika,;Sebastian irritierte Annika, die sich in der Küche aufhielt.
;Sebastian;Annika;False;stim-exp;schockierte;Sebastian schockierte Annika,;Sebastian schockierte Annika, als er sie mit einem Kuss anstarrte.
;Sebastian;Annika;False;stim-exp;störte;Sebastian störte Annika,;Sebastian störte Annika, als sie die Tür zu ihrer Wohnung öffnete.
;Sebastian;Annika;False;stim-exp;überraschte;Sebastian überraschte Annika,;Sebastian überraschte Annika, als sie ihn in der Küche traf.
;Sebastian;Annika;False;stim-exp;verwirrte;Sebastian verwirrte Annika,;Sebastian verwirrte Annika, als sie ihn ansprach.
;Sebastian;Annika;False;exp-stim;bewunderte;Sebastian bewunderte Annika,;Sebastian bewunderte Annika, als sie die Tür zu ihrer Wohnung öffnete.
;Sebastian;Annika;False;exp-stim;fürchtete;Sebastian fürchtete Annika,;Sebastian fürchtete Annika, dass sie sich in der Schule nicht wohlfühlte.
;Sebastian;Annika;False;exp-stim;sorgte sich um;Sebastian sorgte sich um Annika,;Sebastian sorgte sich um Annika, die sich in der Schule nicht wohl fühlte.
;Sebastian;Annika;False;exp-stim;verachtete;Sebastian verachtete Annika,;Sebastian verachtete Annika, weil sie sich nicht an die Regeln hielt.
;Sebastian;Annika;False;exp-stim;vertraute;Sebastian vertraute Annika,;Sebastian vertraute Annika, die mit ihrer Familie in der Nähe wohnte, an.
;Sebastian;Annika;False;exp-stim;achtete;Sebastian achtete Annika,;Sebastian achtete Annika, und die beiden heirateten.
;Sebastian;Annika;False;exp-stim;bedauerte;Sebastian bedauerte Annika,;Sebastian bedauerte Annika, dass sie nicht mehr mit ihm zusammen sein konnte.
;Sebastian;Annika;False;exp-stim;bemitleidete;Sebastian bemitleidete Annika,;Sebastian bemitleidete Annika, dann fragte sie ihn, ob er sie noch einmal treffen wolle.
;Sebastian;Annika;False;exp-stim;ekelte sich vor;Sebastian ekelte sich vor Annika,;Sebastian ekelte sich vor Annika, die ihm die Hand schüttelte.
;Sebastian;Annika;False;exp-stim;hasste;Sebastian hasste Annika,;Sebastian hasste Annika, ich habe dich lieb.
