;Unnamed: 0;Participant;List;type;alter;geschlecht;händigkeit;aufgewachsen;wohnhaft_2020;weietere_MS;AMLaP;Part_Sex;Trial;Item;Time;Subexperiment;Condition;Verb;presumed_bias;NP1gender;NP2_gender;verbclass;Connective;prompt;cont;Analysierbar;Anzahl_Ana;Wortstellung;Koref_erste_ama;bias;congruency;Form;personalpronomen;Einbettung;stelle_1;kasusidentisch;anapher_folgt_unmittelbar_auf_konnektor;peronalpronomen_folgt_unmittelbar_auf_konnektor;filter_$;Zufallsreihenfolge;UrsprünglicheReihenfolge;filter_mit_gefallen;NP1;NP2
0;0;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;118;9;1,56052E+13;2;sodass_es_mf;hassen;subject;m; f;es; sodass;Malte hasste Annemarie, sodass;er verbitterte;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;557;78;Not Selected;Malte;Annemarie
1;1;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;24;20;1,56052E+13;2;sodass_es_fm;bedauern;subject;f; m;es; sodass;Aisha bedauerte Albert, sodass;jdf;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;1644;50;Not Selected;Aisha;Albert
2;2;104;1;Experiment;21;female;rechts;72768;72768;keine;ja;female;93;4;1,56042E+13;2;sodass_es_fm;respektieren;subject;f; m;es; sodass;Saskia respektierte Kevin, sodass;Erlauchte sie respektierte.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;45;151;Not Selected;Saskia;Kevin
3;3;106;1;Experiment;22;male;rechts;71101;71101;keine;ja;male;61;19;1,56049E+12;2;weil_es_fm;sorgen sich um;object;f; m;es; weil;Alisa sorgte sich um Alexander, weil;nun schon den dritten Tag fehlte;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;1467;225;Not Selected;Alisa;Alexander
4;4;109;1;Experiment;27;male;rechts;73037;72074;keine;ja;male;40;2;1,56054E+13;2;sodass_se_fm;faszinieren;object;f; m;se; sodass;Anastasia faszinierte Patrick, sodass;neidisch wurde.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;2046;333;Not Selected;Anastasia;Patrick
5;5;109;1;Experiment;27;male;rechts;73037;72074;keine;ja;male;71;9;1,56054E+13;2;sodass_es_mf;hassen;subject;m; f;es; sodass;Malte hasste Annemarie, sodass;sie der Person, die sie genauso hasst, hilft.;sinnlos; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;1530;345;Not Selected;Malte;Annemarie
6;6;109;1;Experiment;27;male;rechts;73037;72074;keine;ja;male;105;10;1,56054E+13;2;sodass_se_fm;beeindrucken;object;f; m;se; sodass;Adele beeindruckte Robin, sodass;noch mehr GEsangsunterricht nahm.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;624;354;Not Selected;Adele;Robin
7;7;109;1;Experiment;27;male;rechts;73037;72074;keine;ja;male;85;17;1,56054E+13;2;sodass_es_mf;vermissen;subject;m; f;es; sodass;Felix vermisste Marike, sodass;nachts täglich weinte, aber nur nachtsüber;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;974;350;Not Selected;Felix;Marike
8;8;109;1;Experiment;27;male;rechts;73037;72074;keine;ja;male;108;19;1,56054E+13;2;sodass_se_mf;erschüttern;object;m; f;se; sodass;Alexander erschütterte Alisa, sodass;das hatten wir schon.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;20;356;Not Selected;Alexander;Alisa
9;9;110;1;Experiment;28;female;rechts;74080;72070;keine;nein;female;35;2;1,56043E+13;2;sodass_se_fm;faszinieren;object;f; m;se; sodass;Anastasia faszinierte Patrick, sodass;sie näher kennenlernen wollte.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;1065;368;Not Selected;Anastasia;Patrick
