con;np1;np2;female;cat;verb;prompt;continuation
;Sebastian;Annika;False;stim-exp;beeindruckte;Sebastian beeindruckte Annika,;Sebastian beeindruckte Annika, aber auch die anderen Gäste.
;Sebastian;Annika;False;stim-exp;enttäuschte;Sebastian enttäuschte Annika,;Sebastian enttäuschte Annika, als sie ihn ansah.
;Sebastian;Annika;False;stim-exp;inspirierte;Sebastian inspirierte Annika,;Sebastian inspirierte Annika, den ersten Teil der Serie zu schreiben.
;Sebastian;Annika;False;stim-exp;langweilte;Sebastian langweilte Annika,;Sebastian langweilte Annika, die sich in der Küche aufhielt.
;Sebastian;Annika;False;stim-exp;verblüffte;Sebastian verblüffte Annika,;Sebastian verblüffte Annika, die sich in der Küche aufhielt.
;Sebastian;Annika;False;stim-exp;amüsierte;Sebastian amüsierte Annika,;Sebastian amüsierte Annika, als sie ihn ansah.
;Sebastian;Annika;False;stim-exp;ängstigte;Sebastian ängstigte Annika,;Sebastian ängstigte Annika, dass sie nicht mehr mit ihm zusammen sein könne.
;Sebastian;Annika;False;stim-exp;begeisterte;Sebastian begeisterte Annika,;Sebastian begeisterte Annika, als sie ihn ins Bett brachte.
;Sebastian;Annika;False;stim-exp;bezauberte;Sebastian bezauberte Annika,;Sebastian bezauberte Annika, das war ein Traum.
;Sebastian;Annika;False;stim-exp;entzückte;Sebastian entzückte Annika,;Sebastian entzückte Annika, als sie sich auf den Weg machte.
;Sebastian;Annika;False;stim-exp;erschreckte;Sebastian erschreckte Annika,;Sebastian erschreckte Annika, als sie ihn ansah.
;Sebastian;Annika;False;stim-exp;erschütterte;Sebastian erschütterte Annika,;Sebastian erschütterte Annika, und sie fragte:
;Sebastian;Annika;False;stim-exp;erstaunte;Sebastian erstaunte Annika,;Sebastian erstaunte Annika, die sich mit dem Thema „Schwangerschaft“ beschäftigt.
;Sebastian;Annika;False;stim-exp;faszinierte;Sebastian faszinierte Annika,;Sebastian faszinierte Annika, als sie ihn sah.
;Sebastian;Annika;False;stim-exp;irritierte;Sebastian irritierte Annika,;Sebastian irritierte Annika, als sie ihn ansah.
;Sebastian;Annika;False;stim-exp;schockierte;Sebastian schockierte Annika,;Sebastian schockierte Annika, als sie ihn ansah.
;Sebastian;Annika;False;stim-exp;störte;Sebastian störte Annika,;Sebastian störte Annika, aber das war kein Problem.
;Sebastian;Annika;False;stim-exp;überraschte;Sebastian überraschte Annika,;Sebastian überraschte Annika, als sie sich auf den Weg machte, um sich mit ihr zu treffen.
;Sebastian;Annika;False;stim-exp;verwirrte;Sebastian verwirrte Annika,;Sebastian verwirrte Annika, als sie ihn ansah.
;Sebastian;Annika;False;exp-stim;bewunderte;Sebastian bewunderte Annika,;Sebastian bewunderte Annika, als sie ihn ansah.
;Sebastian;Annika;False;exp-stim;fürchtete;Sebastian fürchtete Annika,;Sebastian fürchtete Annika, dass sie nicht mehr mit ihm zusammenleben könne.
;Sebastian;Annika;False;exp-stim;sorgte sich um;Sebastian sorgte sich um Annika,;Sebastian sorgte sich um Annika, die sich in der Küche aufhielt.
;Sebastian;Annika;False;exp-stim;verachtete;Sebastian verachtete Annika,;Sebastian verachtete Annika, als er sie anrief.
;Sebastian;Annika;False;exp-stim;vertraute;Sebastian vertraute Annika,;Sebastian vertraute Annika, die mit ihrem Mann und ihrem Sohn in der Nähe wohnte, auf.
;Sebastian;Annika;False;exp-stim;achtete;Sebastian achtete Annika,;Sebastian achtete Annika, und sie fragte:
;Sebastian;Annika;False;exp-stim;bedauerte;Sebastian bedauerte Annika,;Sebastian bedauerte Annika, la verdad es que no me gustó mucho.
;Sebastian;Annika;False;exp-stim;bemitleidete;Sebastian bemitleidete Annika,;Sebastian bemitleidete Annika, dass sie sich nicht mit dem Thema auseinandersetzen könne.
;Sebastian;Annika;False;exp-stim;ekelte sich vor;Sebastian ekelte sich vor Annika,;Sebastian ekelte sich vor Annika, die sich in der Küche aufhielt.
;Sebastian;Annika;False;exp-stim;hasste;Sebastian hasste Annika,;Sebastian hasste Annika, the daughter of the late, great, great-grandfather of the late, great-grandfather of the late, great
;Sebastian;Annika;False;exp-stim;liebte;Sebastian liebte Annika,;Sebastian liebte Annika, aber sie hatte keine Lust, sich mit ihr zu treffen.
;Sebastian;Annika;False;exp-stim;misstraute;Sebastian misstraute Annika,;Sebastian misstraute Annika, dass er sich nicht mit ihr auskennt.
;Sebastian;Annika;False;exp-stim;mochte;Sebastian mochte Annika,;Sebastian mochte Annika, aber nicht die ganze Zeit.
;Sebastian;Annika;False;exp-stim;respektierte;Sebastian respektierte Annika,;Sebastian respektierte Annika, sie war sehr freundlich und hilfsbereit.
;Sebastian;Annika;False;exp-stim;schätzte;Sebastian schätzte Annika,;Sebastian schätzte Annika, dass sie sich für die Zukunft entschieden habe.
;Sebastian;Annika;False;exp-stim;verabscheute;Sebastian verabscheute Annika,;Sebastian verabscheute Annika, weil sie sich nicht mit ihr identifizieren konnte.
;Sebastian;Annika;False;exp-stim;verehrte;Sebastian verehrte Annika,;Sebastian verehrte Annika, sie war ein sehr nettes Mädchen. Sie war sehr freundlich und hilfsbereit. Wir haben uns sehr wohl gefühlt
;Sebastian;Annika;False;exp-stim;vergötterte;Sebastian vergötterte Annika,;Sebastian vergötterte Annika, und sie fragte:
;Sebastian;Annika;False;exp-stim;vermisste;Sebastian vermisste Annika,;Sebastian vermisste Annika, sie war tot.
;Daniel;Laura;False;stim-exp;beeindruckte;Daniel beeindruckte Laura,;Daniel beeindruckte Laura, als sie ihn ansah.
;Daniel;Laura;False;stim-exp;enttäuschte;Daniel enttäuschte Laura,;Daniel enttäuschte Laura, als sie ihn ansah.
;Daniel;Laura;False;stim-exp;inspirierte;Daniel inspirierte Laura,;Daniel inspirierte Laura, den Film zu drehen.
;Daniel;Laura;False;stim-exp;langweilte;Daniel langweilte Laura,;Daniel langweilte Laura, als sie ihn anrief.
;Daniel;Laura;False;stim-exp;verblüffte;Daniel verblüffte Laura,;Daniel verblüffte Laura, die sich in der Küche aufhielt.
;Daniel;Laura;False;stim-exp;amüsierte;Daniel amüsierte Laura,;Daniel amüsierte Laura, als er sie ansah.
;Daniel;Laura;False;stim-exp;ängstigte;Daniel ängstigte Laura,;Daniel ängstigte Laura, als sie ihn ansah.
;Daniel;Laura;False;stim-exp;begeisterte;Daniel begeisterte Laura,;Daniel begeisterte Laura, als sie ihn in die Küche rief.
;Daniel;Laura;False;stim-exp;bezauberte;Daniel bezauberte Laura,;Daniel bezauberte Laura, aber die beiden hatten keine Ahnung, was sie tun sollten.
;Daniel;Laura;False;stim-exp;entzückte;Daniel entzückte Laura,;Daniel entzückte Laura, als sie ihn ansah.
;Daniel;Laura;False;stim-exp;erschreckte;Daniel erschreckte Laura,;Daniel erschreckte Laura, als sie ihn sah.
;Daniel;Laura;False;stim-exp;erschütterte;Daniel erschütterte Laura,;Daniel erschütterte Laura, als sie ihn ansah.
;Daniel;Laura;False;stim-exp;erstaunte;Daniel erstaunte Laura,;Daniel erstaunte Laura, fragte:
;Daniel;Laura;False;stim-exp;faszinierte;Daniel faszinierte Laura,;Daniel faszinierte Laura, als sie ihn sah.
;Daniel;Laura;False;stim-exp;irritierte;Daniel irritierte Laura,;Daniel irritierte Laura, als sie ihn ansah.
;Daniel;Laura;False;stim-exp;schockierte;Daniel schockierte Laura,;Daniel schockierte Laura, als sie ihn sah.
;Daniel;Laura;False;stim-exp;störte;Daniel störte Laura,;Daniel störte Laura, aber nicht die anderen.
;Daniel;Laura;False;stim-exp;überraschte;Daniel überraschte Laura,;Daniel überraschte Laura, als sie ihn ansah.
;Daniel;Laura;False;stim-exp;verwirrte;Daniel verwirrte Laura,;Daniel verwirrte Laura, als sie ihn ansah.
;Daniel;Laura;False;exp-stim;bewunderte;Daniel bewunderte Laura,;Daniel bewunderte Laura, und sie fragte:
;Daniel;Laura;False;exp-stim;fürchtete;Daniel fürchtete Laura,;Daniel fürchtete Laura, dass sie nicht mehr mit ihm zusammenleben würde.
;Daniel;Laura;False;exp-stim;sorgte sich um;Daniel sorgte sich um Laura,;Daniel sorgte sich um Laura, als sie sich in der Küche aufhielt.
;Daniel;Laura;False;exp-stim;verachtete;Daniel verachtete Laura,;Daniel verachtete Laura, als sie ihn ansah.
;Daniel;Laura;False;exp-stim;vertraute;Daniel vertraute Laura,;Daniel vertraute Laura, dass sie sich nicht verunsichern würde.
;Daniel;Laura;False;exp-stim;achtete;Daniel achtete Laura,;Daniel achtete Laura, paske li te renmen l anpil.
;Daniel;Laura;False;exp-stim;bedauerte;Daniel bedauerte Laura,;Daniel bedauerte Laura, y la verdad es que no me gustó mucho.
;Daniel;Laura;False;exp-stim;bemitleidete;Daniel bemitleidete Laura,;Daniel bemitleidete Laura, und er fragte:
;Daniel;Laura;False;exp-stim;ekelte sich vor;Daniel ekelte sich vor Laura,;Daniel ekelte sich vor Laura, ob es ihm gut geht.
;Daniel;Laura;False;exp-stim;hasste;Daniel hasste Laura,;Daniel hasste Laura, I'm so sorry for your loss.
;Daniel;Laura;False;exp-stim;liebte;Daniel liebte Laura,;Daniel liebte Laura, und Laura liebte ihn.
;Daniel;Laura;False;exp-stim;misstraute;Daniel misstraute Laura,;Daniel misstraute Laura, and she is not happy about it.
;Daniel;Laura;False;exp-stim;mochte;Daniel mochte Laura,;Daniel mochte Laura, und ich mochte Laura. Ich mochte Laura.
;Daniel;Laura;False;exp-stim;respektierte;Daniel respektierte Laura,;Daniel respektierte Laura, als sie ihn anrief.
;Daniel;Laura;False;exp-stim;schätzte;Daniel schätzte Laura,;Daniel schätzte Laura, dass sie sich für die Zukunft entschieden habe.
;Daniel;Laura;False;exp-stim;verabscheute;Daniel verabscheute Laura,;Daniel verabscheute Laura, der sie in den Armen hielt.
;Daniel;Laura;False;exp-stim;verehrte;Daniel verehrte Laura,;Daniel verehrte Laura, und sie fragte:
;Daniel;Laura;False;exp-stim;vergötterte;Daniel vergötterte Laura,;Daniel vergötterte Laura, und sie fragte:
;Daniel;Laura;False;exp-stim;vermisste;Daniel vermisste Laura,;Daniel vermisste Laura, sie war tot.
;Jan;Jennifer;False;stim-exp;beeindruckte;Jan beeindruckte Jennifer,;Jan beeindruckte Jennifer, der jüngste Sohn von Jennifer Aniston.
;Jan;Jennifer;False;stim-exp;enttäuschte;Jan enttäuschte Jennifer,;Jan enttäuschte Jennifer, als er sie ins Bett brachte.
;Jan;Jennifer;False;stim-exp;inspirierte;Jan inspirierte Jennifer,;Jan inspirierte Jennifer, den Film zu drehen.
