con;np1;np2;female;cat;verb;prompt;continuation
;Sebastian;Annika;False;stim-exp;beeindruckte;Sebastian beeindruckte Annika,;"Sebastian beeindruckte Annika, als sie ihm sagte, dass sie ihn nicht mehr sehen könne.
„Ich habe ihn nicht mehr gesehen“, sagte Sebastian."
;Sebastian;Annika;False;stim-exp;enttäuschte;Sebastian enttäuschte Annika,;"Sebastian enttäuschte Annika, die ihn mit einem Lächeln anlächelte.
„Ich habe dich nicht gesehen, Sebastian. Ich habe dich nicht"
;Sebastian;Annika;False;stim-exp;inspirierte;Sebastian inspirierte Annika,;"Sebastian inspirierte Annika, sich für die Teilnahme am Wettbewerb zu bewerben.
„Ich habe mich für die Teilnahme am Wettbewerb beworben,"
;Sebastian;Annika;False;stim-exp;langweilte;Sebastian langweilte Annika,;"Sebastian langweilte Annika, die ihn mit einem Lächeln anlächelte.
„Ich habe dich schon lange nicht mehr gesehen. Ich habe dich"
;Sebastian;Annika;False;stim-exp;verblüffte;Sebastian verblüffte Annika,;"Sebastian verblüffte Annika, als sie ihn fragte, ob er sie heiraten wolle.
„Ich habe mich schon gefragt, ob ich"
;Sebastian;Annika;False;stim-exp;amüsierte;Sebastian amüsierte Annika,;"Sebastian amüsierte Annika, als sie ihm sagte, dass sie sich nicht mehr für ihn interessiere.
„Ich habe mich schon immer für dich interess"
;Sebastian;Annika;False;stim-exp;ängstigte;Sebastian ängstigte Annika,;"Sebastian ängstigte Annika, sie solle sich von ihm trennen. Doch sie war nicht bereit, sich von ihm zu trennen.
„Du b"
;Sebastian;Annika;False;stim-exp;begeisterte;Sebastian begeisterte Annika,;"Sebastian begeisterte Annika, als sie ihn fragte, ob er sie heiraten wolle.
„Ja, das ist richtig“, sagte Sebastian"
;Sebastian;Annika;False;stim-exp;bezauberte;Sebastian bezauberte Annika,;"Sebastian bezauberte Annika, als sie ihn fragte, ob er sie heiraten wolle.
„Ja, das ist das Richtige“, sagte"
;Sebastian;Annika;False;stim-exp;entzückte;Sebastian entzückte Annika,;"Sebastian entzückte Annika, die sich in ihn verliebt hatte.
„Ich bin so froh, dass du mich gefunden hast“, sagte er"
;Sebastian;Annika;False;stim-exp;erschreckte;Sebastian erschreckte Annika,;"Sebastian erschreckte Annika, als sie ihm sagte, dass sie ihn nicht mehr sehen würde.
„Ich habe dich nicht gesehen“, sagte er. „"
;Sebastian;Annika;False;stim-exp;erschütterte;Sebastian erschütterte Annika,;"Sebastian erschütterte Annika, als sie ihn fragte, ob er sie nicht liebe.
„Ich liebe dich“, sagte er. „Ich"
;Sebastian;Annika;False;stim-exp;erstaunte;Sebastian erstaunte Annika,;"Sebastian erstaunte Annika, als sie ihm sagte, dass sie ihn nicht mehr sehen könne.
„Ich habe ihn nicht mehr gesehen“, sagte er."
;Sebastian;Annika;False;stim-exp;faszinierte;Sebastian faszinierte Annika,;"Sebastian faszinierte Annika, als sie ihn fragte, ob er sie heiraten wolle.
„Ich bin nicht so der Typ, der sich"
