Condition_Code;Connective;Experiment;Gender_NP1;Gender_NP2;Human;Item;List;Prompt;Verbtype;list;ChatGPT
2;weil;1;m;f;Klaus erstaunte Marie, weil er ihr Blumen mitbrachte;18;3;Klaus erstaunte Marie, weil ...;SE;0;Klaus erstaunte Marie, weil er plötzlich fließend Französisch sprach.
3;weil;1;f;m;Stefanie vertraute Dennis, weil er immer zuverlässig ist.;16;2;Stefanie vertraute Dennis, weil ...;ES;0;Stefanie vertraute Dennis, weil er stets ehrlich und zuverlässig war.
4;weil;1;m;f;Alexander sorgte sich um Alisa, weil sie ihre Eltern verloren hatte.;19;2;Alexander sorgte sich um Alisa, weil ...;ES;0;Alexander sorgte sich um Alisa, weil sie seit Tagen nicht erreichbar war.
5;sodass;1;f;m;Emma amüsierte Fritz, sodass dieser sich noch etwas Gin einschenkte.;12;3;Emma amüsierte Fritz, sodass ...;SE;0;Emma amüsierte Fritz, sodass er laut zu lachen begann.
2;weil;1;m;f;Alexander erschütterte Alisa, weil sein Gewicht den Boden zum Beben brachte.;19;4;Alexander erschütterte Alisa, weil ...;SE;0;Alexander erschütterte Alisa, weil er ihr ein lange gehütetes Geheimnis offenbarte.
3;weil;1;f;m;Adele achtete Robin, weil er stets freundlich zu ihr war.;10;4;Adele achtete Robin, weil ...;ES;0;Adele achtete Robin, weil er immer ehrlich und hilfsbereit war.
4;weil;1;m;f;Tim vergötterte Martha, weil sie die schönste im ganzen Land war.;5;4;Tim vergötterte Martha, weil ...;ES;0;Tim vergötterte Martha, weil sie immer für ihn da war.
7;sodass;1;f;m;Martha vergötterte Tim, sodass sie ihm jeden Wunsch von den Augen abliest.;5;2;Martha vergötterte Tim, sodass ...;ES;0;Martha vergötterte Tim, sodass sie immer seine Nähe suchte und alles tat, um ihn zu beeindrucken.
5;sodass;1;f;m;Johanna schockierte Lars, sodass er rücjwärts vom stuhl fiel;1;4;Johanna schockierte Lars, sodass ...;SE;0;Johanna schockierte Lars, sodass er völlig sprachlos dastand.
6;sodass;1;m;f;Patrick faszinierte Anastasia, sodass sie kaum die Augen von ihm lassen konnte.;2;4;Patrick faszinierte Anastasia, sodass ...;SE;0;Patrick faszinierte Anastasia, sodass sie viel Zeit miteinander verbrachten.
7;sodass;1;f;m;Simone verabscheute Michael, sodass er sich genötigt sah, ihre Anwesenheit zu meiden.;3;4;Simone verabscheute Michael, sodass ...;ES;0;Simone verabscheute Michael, sodass sie jedes Mal den Raum verließ, wenn er ihn betrat.
8;sodass;1;m;f;Daniel misstraute Jana, sodass er die nicht aus den Augen lies;6;2;Daniel misstraute Jana, sodass ...;ES;0;Daniel misstraute Jana, sodass er ihr Geheimnisse vorenthielt.
2;weil;1;m;f;Armin begeisterte Anna, weil er sportlich war.;11;4;Armin begeisterte Anna, weil ...;SE;0;Armin begeisterte Anna, weil er ihr eine wunderbare Überraschung vorbereitet hatte.
3;weil;1;f;m;Jana misstraute Daniel, weil er sie schon einmal verraten hatte.;6;4;Jana misstraute Daniel, weil ...;ES;0;Jana misstraute Daniel, weil er ihr bereits mehrere Male widersprüchliche Geschichten erzählt hatte.
4;weil;1;m;f;Albert bedauerte Aisha, weil sie viel Pech im Leben hatte.;20;3;Albert bedauerte Aisha, weil ...;ES;0;Albert bedauerte Aisha, weil sie ihre Träume aufgeben musste.
8;sodass;1;m;f;Klaus ekelte sich vor Marie, sodass er ihr sagte, was mit ihr nicht stummt.;18;2;Klaus ekelte sich vor Marie, sodass ...;ES;0;Klaus ekelte sich vor Marie, sodass er ihren Kuss ablehnte.
1;weil;1;f;m;Jennifer gefiel Tobias, weil Tobias so gut rechnete.;8;4;Jennifer gefiel Tobias, weil ...;SE;0;Jennifer gefiel Tobias, weil er ihre positive Ausstrahlung und ihren Humor schätzte.
2;weil;1;m;f;Rüdiger ängstigte Katharina, weil er sie oft anbellte und auf sie zu sprang.;15;4;Rüdiger ängstigte Katharina, weil ...;SE;0;Rüdiger ängstigte Katharina, weil er plötzlich laut schrie.
3;weil;1;f;m;Annemarie hasste Malte, weil er sie immer aergerte;9;3;Annemarie hasste Malte, weil ...;ES;0;Annemarie hasste Malte, weil er sie ständig belog.
5;sodass;1;f;m;Marie erstaunte Klaus, sodass Er umfiel.;18;1;Marie erstaunte Klaus, sodass ...;SE;0;Marie erstaunte Klaus, sodass er sprachlos blieb.
1;weil;1;f;m;Melanie langweilte Jacob, weil sie gelangweilt von ihm war;13;1;Melanie langweilte Jacob, weil ...;SE;0;Melanie langweilte Jacob, weil sie ständig über dasselbe Thema sprach.
2;weil;1;m;f;Albert erschreckte Aisha, weil er ihr eine Spinne auf das Kopfkissen legte;20;1;Albert erschreckte Aisha, weil ...;SE;0;Albert erschreckte Aisha, weil er plötzlich hinter ihr auftauchte.
3;weil;1;f;m;Anna bewunderte Armin, weil er so ein großes Herz hatte.;11;1;Anna bewunderte Armin, weil ...;ES;0;Anna bewunderte Armin, weil er immer hilfsbereit und freundlich war.
4;weil;1;m;f;Dennis vertraute Stefanie, weil sie nett war;16;3;Dennis vertraute Stefanie, weil ...;ES;0;Dennis vertraute Stefanie, weil sie immer ehrlich zu ihm war.
1;weil;1;f;m;Marike irritierte Felix, weil sie ständig an den Fingernägeln nagte.;17;1;Marike irritierte Felix, weil ...;SE;0;Marike irritierte Felix, weil sie plötzlich aufhörte, mit ihm zu sprechen.
2;weil;1;m;f;Oliver überraschte Lena, weil sie geburtstag hatte;7;4;Oliver überraschte Lena, weil ...;SE;0;Oliver überraschte Lena, weil er ihr Lieblingsessen gekocht hatte.
4;weil;1;m;f;Fritz liebte Emma, weil sie so rücksichtsvoll ist.;12;3;Fritz liebte Emma, weil ...;ES;0;Fritz liebte Emma, weil sie immer einen Weg fand, ihn zum Lachen zu bringen.
6;sodass;1;m;f;Michael enttäuschte Simone, sodass sie die Beziehung beendete.;3;1;Michael enttäuschte Simone, sodass ...;SE;0;Michael enttäuschte Simone, sodass sie ihm nicht mehr vertraute.
2;weil;1;m;f;Yannick verblüffte Janina, weil Er ihr einen Song geschrieben hatte.;14;3;Yannick verblüffte Janina, weil ...;SE;0;Yannick verblüffte Janina, weil er plötzlich fließend Mandarin sprach.
3;weil;1;f;m;Marike vermisste Felix, weil er sich lang nicht mehr gemeldet hatte.;17;3;Marike vermisste Felix, weil ...;ES;0;Marike vermisste Felix, weil er ihr bester Freund war.
6;sodass;1;m;f;Oliver überraschte Lena, sodass sie erschrak;7;1;Oliver überraschte Lena, sodass ...;SE;0;Oliver überraschte Lena, sodass sie vor Freude in Tränen ausbrach.
8;sodass;1;m;f;Patrick verehrte Anastasia, sodass er die Augen vor der Realität verschloss.;2;2;Patrick verehrte Anastasia, sodass ...;ES;0;Patrick verehrte Anastasia, sodass er alles tat, um ihr zu gefallen.
1;weil;1;f;m;Alisa erschütterte Alexander, weil er ein trauriges Lied für sie geschrieben und vorgesungen hat.;19;3;Alisa erschütterte Alexander, weil ...;SE;0;Alisa erschütterte Alexander, weil sie seine tiefsten Geheimnisse enthüllte.
2;weil;1;m;f;Tobias gefiel Jennifer, weil sie intelligent und hübsch war.;8;1;Tobias gefiel Jennifer, weil ...;SE;0;Tobias gefiel Jennifer, weil er humorvoll und einfühlsam war.
4;weil;1;m;f;Malte hasste Annemarie, weil er sie nicht verstand.;9;4;Malte hasste Annemarie, weil ...;ES;0;Malte hasste Annemarie, weil sie ihn ständig kritisierte.
8;sodass;1;m;f;Malte hasste Annemarie, sodass er sie mobbte;9;1;Malte hasste Annemarie, sodass ...;ES;0;Malte hasste Annemarie, sodass er jedem von ihren Fehlern erzählte.
2;weil;1;m;f;Lars schockierte Johanna, weil er einen Unfall hatte.;1;2;Lars schockierte Johanna, weil ...;SE;0;Lars schockierte Johanna, weil er ihr ein altes Familiengeheimnis enthüllte.
3;weil;1;f;m;Martha vergötterte Tim, weil er sehr liebenswert war.;5;3;Martha vergötterte Tim, weil ...;ES;0;Martha vergötterte Tim, weil ... er immer für sie da war und ihr seine Liebe auf viele kleine Arten zeigte.
5;sodass;1;f;m;Adele beeindruckte Robin, sodass er seine Vorurteile über sie korrigieren musste.;10;1;Adele beeindruckte Robin, sodass ...;SE;0;Adele beeindruckte Robin, sodass er sprachlos war.
6;sodass;1;m;f;Felix irritierte Marike, sodass sie nochmal nachfragen musste.;17;3;Felix irritierte Marike, sodass ...;SE;0;Felix irritierte Marike, sodass sie nicht wusste, was sie als nächstes sagen sollte.
3;weil;1;f;m;Janina himmelte Yannick an, weil er trotz schwieriger Familienverhälntisse nie die Hoffnung verloren hatte;14;4;Janina himmelte Yannick an, weil ...;ES;0;Janina himmelte Yannick an, weil er ihr bei einem schwierigen Projekt geholfen hatte und sie seine Intelligenz bewunderte.
5;sodass;1;f;m;Jana verwirrte Daniel, sodass er sein Referat verdarb.;6;1;Jana verwirrte Daniel, sodass ...;SE;0;Jana verwirrte Daniel, sodass er nicht wusste, wie er reagieren sollte.
6;sodass;1;m;f;Kevin inspirierte Saskia, sodass sie auch anfing zu malen;4;2;Kevin inspirierte Saskia, sodass ...;SE;0;Kevin inspirierte Saskia, sodass sie ihre Träume verfolgte und schließlich ihre Ziele erreichte.
8;sodass;1;m;f;Kevin respektierte Saskia, sodass er mit ihr auch gut probleme besprechen konnte;4;4;Kevin respektierte Saskia, sodass ...;ES;0;Kevin respektierte Saskia, sodass er immer ihre Meinung berücksichtigte.
1;weil;1;f;m;Anastasia faszinierte Patrick, weil er so viel wusste.;2;2;Anastasia faszinierte Patrick, weil ...;SE;0;Anastasia faszinierte Patrick, weil sie eine geheimnisvolle Aura umgab und ihre Augen eine unbeschreibliche Tiefe hatten.
3;weil;1;f;m;Simone verabscheute Michael, weil er sie stets beleidigte;3;1;Simone verabscheute Michael, weil ...;ES;0;Simone verabscheute Michael, weil er sie immer wieder belog und ihr Vertrauen missbrauchte.
4;weil;1;m;f;Oliver schätzte Lena, weil sie so gut zuhörte;7;2;Oliver schätzte Lena, weil ...;ES;0;Oliver schätzte Lena, weil sie immer ehrlich und unterstützend war.
5;sodass;1;f;m;Annemarie störte Malte, sodass dieser auf Dauer entnervt den Raum verließ.;9;4;Annemarie störte Malte, sodass ...;SE;0;Annemarie störte Malte, sodass er sein Buch nicht weiterlesen konnte.
2;weil;1;m;f;Malte störte Annemarie, weil er laut redete, während sie sm Lernen war;9;2;Malte störte Annemarie, weil ...;SE;0;Malte störte Annemarie, weil er laut Musik hörte.
5;sodass;1;f;m;Simone enttäuschte Michael, sodass Er nicht mehr mit ihr sprechen wollte.;3;2;Simone enttäuschte Michael, sodass ...;SE;0;Simone enttäuschte Michael, sodass er ihr nicht mehr vertraute.
6;sodass;1;m;f;Tim bezauberte Martha, sodass Sie immer verträumt in seine Richtung schaute;5;3;Tim bezauberte Martha, sodass ...;SE;0;Tim bezauberte Martha, sodass sie ihm nicht widerstehen konnte.
7;sodass;1;f;m;Adele achtete Robin, sodass sie ihm mehr vertraute.;10;3;Adele achtete Robin, sodass ...;ES;0;Adele achtete Robin, sodass er keinen Fehler machte.
1;weil;1;f;m;Marie erstaunte Klaus, weil sie so anders war als die anderen Mädchen.;18;2;Marie erstaunte Klaus, weil ...;SE;0;Marie erstaunte Klaus, weil sie plötzlich fließend Japanisch sprach.
2;weil;1;m;f;Jacob langweilte Melanie, weil er nur über sich sprach;13;2;Jacob langweilte Melanie, weil ...;SE;0;Jacob langweilte Melanie, weil er ständig über dasselbe Thema sprach.
3;weil;1;f;m;Alisa sorgte sich um Alexander, weil er eine starke Erkältung bekam.;19;1;Alisa sorgte sich um Alexander, weil ...;ES;0;Alisa sorgte sich um Alexander, weil er in letzter Zeit häufig krank war.
7;sodass;1;f;m;Alisa sorgte sich um Alexander, sodass sie ihm Hilfe anbot;19;4;Alisa sorgte sich um Alexander, sodass ...;ES;0;Alisa sorgte sich um Alexander, sodass sie ihm jeden Tag eine Nachricht schrieb, um sicherzugehen, dass es ihm gut ging.
1;weil;1;f;m;Adele beeindruckte Robin, weil sie gute Musik machte;10;2;Adele beeindruckte Robin, weil ...;SE;0;Adele beeindruckte Robin, weil sie eine wunderschöne Stimme hatte.
3;weil;1;f;m;Jennifer mochte Tobias, weil Er gerne Handball spielte.;8;2;Jennifer mochte Tobias, weil ...;ES;0;Jennifer mochte Tobias, weil er immer aufmerksam und freundlich zu ihr war.
6;sodass;1;m;f;Albert erschreckte Aisha, sodass Sie einen Unfall baute.;20;2;Albert erschreckte Aisha, sodass ...;SE;0;Albert erschreckte Aisha, sodass sie laut aufschrie.
7;sodass;1;f;m;Jennifer mochte Tobias, sodass sie sich auf ein Kaffee trafen.;8;1;Jennifer mochte Tobias, sodass ...;ES;0;Jennifer mochte Tobias, sodass sie oft Zeit mit ihm verbrachte.
3;weil;1;f;m;Lena schätzte Oliver, weil er sehr ehrlich war.;7;1;Lena schätzte Oliver, weil ...;ES;0;Lena schätzte Oliver, weil er immer freundlich und hilfsbereit war.
4;weil;1;m;f;Tobias mochte Jennifer, weil sie schön war;8;3;Tobias mochte Jennifer, weil ...;ES;0;Tobias mochte Jennifer, weil sie ihn immer zum Lachen brachte.
5;sodass;1;f;m;Lena überraschte Oliver, sodass es ihm unwohl war;7;2;Lena überraschte Oliver, sodass ...;SE;0;Lena überraschte Oliver, sodass er sprachlos war und sie lange umarmte.
6;sodass;1;m;f;Rüdiger ängstigte Katharina, sodass sie nie von der Seite ihres Freundes wich, wenn sie ihm auf einer Feier begegneten;15;1;Rüdiger ängstigte Katharina, sodass ...;SE;0;Rüdiger ängstigte Katharina, sodass sie die Tür hinter sich zuschlug.
1;weil;1;f;m;Emma amüsierte Fritz, weil sie dauernd Witze erzählte.;12;4;Emma amüsierte Fritz, weil ...;SE;0;Emma amüsierte Fritz, weil sie ihm einen lustigen Witz erzählte.
2;weil;1;m;f;Kevin inspirierte Saskia, weil er gut zeichnen kann.;4;1;Kevin inspirierte Saskia, weil ...;SE;0;Kevin inspirierte Saskia, weil er mit seiner positiven Einstellung und Durchhaltevermögen zeigte, was möglich ist.
