con;np1;np2;female;cat;verb;prompt;continuation
weil;Sebastian;Annika;False;stim-exp;beeindruckte;Sebastian beeindruckte Annika, weil;Sebastian beeindruckte Annika, weil er nicht nur ein sehr guter Koch ist, sondern auch sehr gut mit Menschen umgehen
weil;Sebastian;Annika;False;stim-exp;enttäuschte;Sebastian enttäuschte Annika, weil;"Sebastian enttäuschte Annika, weil sie sich in ihn verliebt hatte.
Annika warf Sebastian vor, dass"
weil;Sebastian;Annika;False;stim-exp;inspirierte;Sebastian inspirierte Annika, weil;"Sebastian inspirierte Annika, weil sie sich in ihm wohlfühlte.
„Ich habe mich sehr gefreut"
weil;Sebastian;Annika;False;stim-exp;langweilte;Sebastian langweilte Annika, weil;Sebastian langweilte Annika, weil sie nicht mehr so viel Zeit hatte, um sich um die Kinder zu kümmern.
weil;Sebastian;Annika;False;stim-exp;verblüffte;Sebastian verblüffte Annika, weil;Sebastian verblüffte Annika, weil er sich in ihr verliebt hat. Annika ist sehr froh, dass Sebastian
weil;Sebastian;Annika;False;stim-exp;amüsierte;Sebastian amüsierte Annika, weil;"Sebastian amüsierte Annika, weil er ihr sagte, dass er sich nicht mehr so gut fühle.
„Ich habe"
weil;Sebastian;Annika;False;stim-exp;ängstigte;Sebastian ängstigte Annika, weil;Sebastian ängstigte Annika, weil er ihr die Wahrheit sagen wollte. Er warf ihr vor, sie zu verraten.
weil;Sebastian;Annika;False;stim-exp;begeisterte;Sebastian begeisterte Annika, weil;Sebastian begeisterte Annika, weil er sich in ihr verliebt hat. Annika ist sehr froh, dass Sebastian
weil;Sebastian;Annika;False;stim-exp;bezauberte;Sebastian bezauberte Annika, weil;"Sebastian bezauberte Annika, weil sie ihn so liebte.
„Du bist ein toller Kerl,"
weil;Sebastian;Annika;False;stim-exp;entzückte;Sebastian entzückte Annika, weil;"Sebastian entzückte Annika, weil sie ihn so liebte.
„Ich bin so froh, dass du mich"
weil;Sebastian;Annika;False;stim-exp;erschreckte;Sebastian erschreckte Annika, weil;"Sebastian erschreckte Annika, weil sie nicht wusste, dass er sie liebte.
„Ich habe dich"
weil;Sebastian;Annika;False;stim-exp;erschütterte;Sebastian erschütterte Annika, weil;"Sebastian erschütterte Annika, weil sie sich nicht mehr so gut an die neue Situation gewöhnt hatte.
„Ich"
weil;Sebastian;Annika;False;stim-exp;erstaunte;Sebastian erstaunte Annika, weil;"Sebastian erstaunte Annika, weil sie sich nicht mehr so gut an die neue Situation gewöhnt hatte.
„Ich"
weil;Sebastian;Annika;False;stim-exp;faszinierte;Sebastian faszinierte Annika, weil;Sebastian faszinierte Annika, weil sie sich in ihm wohlfühlte. Er war ihr zu jung, um sich zu
weil;Sebastian;Annika;False;stim-exp;irritierte;Sebastian irritierte Annika, weil;Sebastian irritierte Annika, weil sie nicht wusste, dass er ihr einen Kuss auf die Stirn gab.
weil;Sebastian;Annika;False;stim-exp;schockierte;Sebastian schockierte Annika, weil;"Sebastian schockierte Annika, weil sie sich in ihn verliebt hatte.
„Ich habe dich nicht gesehen, Sebastian"
weil;Sebastian;Annika;False;stim-exp;störte;Sebastian störte Annika, weil;"Sebastian störte Annika, weil sie sich nicht mehr so gut an die neue Situation gewöhnt hatte.
""Ich"
weil;Sebastian;Annika;False;stim-exp;überraschte;Sebastian überraschte Annika, weil;"Sebastian überraschte Annika, weil sie sich in ihn verliebt hat.
Annika und Sebastian sind sich einig"
weil;Sebastian;Annika;False;stim-exp;verwirrte;Sebastian verwirrte Annika, weil;"Sebastian verwirrte Annika, weil sie nicht wusste, dass er ein Vampir ist.
Annika: Sebastian"
weil;Sebastian;Annika;False;exp-stim;bewunderte;Sebastian bewunderte Annika, weil;"Sebastian bewunderte Annika, weil sie ihn so liebte.
„Ich habe dich lieb, Sebastian“, sagte"
weil;Sebastian;Annika;False;exp-stim;fürchtete;Sebastian fürchtete Annika, weil;"Sebastian fürchtete Annika, weil sie sich in ihn verliebt hatte.
„Ich weiß nicht, was ich machen"
weil;Sebastian;Annika;False;exp-stim;sorgte sich um;Sebastian sorgte sich um Annika, weil;"Sebastian sorgte sich um Annika, weil sie nicht mehr mit ihm zusammen sein konnte.
„Ich habe mich gefragt, ob"
weil;Sebastian;Annika;False;exp-stim;verachtete;Sebastian verachtete Annika, weil;Sebastian verachtete Annika, weil sie ihn nicht liebte. Er war der Meinung, dass sie ihn nicht lieb
weil;Sebastian;Annika;False;exp-stim;vertraute;Sebastian vertraute Annika, weil;"Sebastian vertraute Annika, weil sie ihn so liebte.
„Ich bin so froh, dass ich dich"
weil;Sebastian;Annika;False;exp-stim;achtete;Sebastian achtete Annika, weil;"Sebastian achtete Annika, weil es ihr wichtig war, dass sie sich nicht von ihm trennen konnte.
„Ich"
weil;Sebastian;Annika;False;exp-stim;bedauerte;Sebastian bedauerte Annika, weil;Sebastian bedauerte Annika, weil sie nicht mit ihm gesprochen hatte. „Ich habe ihm gesagt, dass ich mich nicht
weil;Sebastian;Annika;False;exp-stim;bemitleidete;Sebastian bemitleidete Annika, weil;"Sebastian bemitleidete Annika, weil sie sich nicht an die Regeln hielt.
„Ich habe mich nicht an die Regeln gehalten"
weil;Sebastian;Annika;False;exp-stim;ekelte sich vor;Sebastian ekelte sich vor Annika, weil;"Sebastian ekelte sich vor Annika, weil er sich so sehr um sie gekümmert hatte.
„Ich habe dich so lie"
weil;Sebastian;Annika;False;exp-stim;hasste;Sebastian hasste Annika, weil;Sebastian hasste Annika, weil sie ihn nicht liebte. Er war ein sehr guter Freund von ihr. Er
weil;Sebastian;Annika;False;exp-stim;liebte;Sebastian liebte Annika, weil;"Sebastian liebte Annika, weil sie ihn so liebte.
Annika war die beste Freundin von Sebastian.
"
weil;Sebastian;Annika;False;exp-stim;misstraute;Sebastian misstraute Annika, weil;"Sebastian misstraute Annika, weil sie sich in ihn verliebt hatte.
Annika warf Sebastian vor, dass"
weil;Sebastian;Annika;False;exp-stim;mochte;Sebastian mochte Annika, weil;"Sebastian mochte Annika, weil sie so liebenswert war.
Annika war die beste Freundin von Sebastian.
"
weil;Sebastian;Annika;False;exp-stim;respektierte;Sebastian respektierte Annika, weil;"Sebastian respektierte Annika, weil sie ihn so liebte.
„Ich habe dich lieb, Sebastian“, sagte"
weil;Sebastian;Annika;False;exp-stim;schätzte;Sebastian schätzte Annika, weil;"Sebastian schätzte Annika, weil sie ihn so liebte.
„Ich bin so froh, dass ich dich"
weil;Sebastian;Annika;False;exp-stim;verabscheute;Sebastian verabscheute Annika, weil;"Sebastian verabscheute Annika, weil sie sich in ihn verliebt hatte.
Annika war sehr froh, dass"
weil;Sebastian;Annika;False;exp-stim;verehrte;Sebastian verehrte Annika, weil;"Sebastian verehrte Annika, weil sie ihn so liebte.
„Ich bin so froh, dass du mich"
weil;Sebastian;Annika;False;exp-stim;vergötterte;Sebastian vergötterte Annika, weil;"Sebastian vergötterte Annika, weil sie ihn als „die schönste Frau der Welt“ bezeichnete.
Als er sich"
weil;Sebastian;Annika;False;exp-stim;vermisste;Sebastian vermisste Annika, weil;"Sebastian vermisste Annika, weil sie sich in ihn verliebt hatte.
Annika war die Tochter des Arztes"
weil;Daniel;Laura;False;stim-exp;beeindruckte;Daniel beeindruckte Laura, weil;"Daniel beeindruckte Laura, weil sie sich so gut in die Rolle hineinversetzen konnte.
Die beiden Schauspielerinnen waren"
weil;Daniel;Laura;False;stim-exp;enttäuschte;Daniel enttäuschte Laura, weil;Daniel enttäuschte Laura, weil sie nicht mehr so viel Zeit hatte, um sich um ihre Familie zu kümmern.
weil;Daniel;Laura;False;stim-exp;inspirierte;Daniel inspirierte Laura, weil;Daniel inspirierte Laura, weil er ihr die Möglichkeit gab, sich mit dem Thema „Menschenrechte“ ause
weil;Daniel;Laura;False;stim-exp;langweilte;Daniel langweilte Laura, weil;Daniel langweilte Laura, weil sie nicht mehr so viel Zeit hatte, um sich um ihre Familie zu kümmern.
weil;Daniel;Laura;False;stim-exp;verblüffte;Daniel verblüffte Laura, weil;Daniel verblüffte Laura, weil sie sich in ihm verliebt hatte. Laura war von Anfang an mit ihm befreundet
weil;Daniel;Laura;False;stim-exp;amüsierte;Daniel amüsierte Laura, weil;"Daniel amüsierte Laura, weil sie sich nicht mehr so gut an die neue Situation gewöhnt hatte.
„Ich"
weil;Daniel;Laura;False;stim-exp;ängstigte;Daniel ängstigte Laura, weil;"Daniel ängstigte Laura, weil sie sich nicht an die Regeln halten konnte.
""Ich habe mich nicht an die Regeln"
weil;Daniel;Laura;False;stim-exp;begeisterte;Daniel begeisterte Laura, weil;"Daniel begeisterte Laura, weil sie sich so gut mit dem Thema auseinandersetzen konnte.
Laura: „Ich habe"
weil;Daniel;Laura;False;stim-exp;bezauberte;Daniel bezauberte Laura, weil;"Daniel bezauberte Laura, weil sie so schön war.
Laura: Ich bin so froh, dass ich dich"
weil;Daniel;Laura;False;stim-exp;entzückte;Daniel entzückte Laura, weil;"Daniel entzückte Laura, weil sie ihn so liebte.
Laura: Ich bin so froh, dass du"
weil;Daniel;Laura;False;stim-exp;erschreckte;Daniel erschreckte Laura, weil;"Daniel erschreckte Laura, weil sie ihn so sehr liebte.
Laura: Ich weiß nicht, was ich machen"
weil;Daniel;Laura;False;stim-exp;erschütterte;Daniel erschütterte Laura, weil;Daniel erschütterte Laura, weil sie nicht wusste, dass sie in der Lage war, die Wahrheit zu sagen.
weil;Daniel;Laura;False;stim-exp;erstaunte;Daniel erstaunte Laura, weil;Daniel erstaunte Laura, weil sie nicht wusste, dass sie in der Lage war, die Welt zu retten.
weil;Daniel;Laura;False;stim-exp;faszinierte;Daniel faszinierte Laura, weil;Daniel faszinierte Laura, weil er ihr die Fähigkeit vermittelt hat, sich selbst zu erkennen und zu lieben.
weil;Daniel;Laura;False;stim-exp;irritierte;Daniel irritierte Laura, weil;Daniel irritierte Laura, weil sie nicht wusste, dass sie mit dem Mann zusammen war. Laura warf ihm
weil;Daniel;Laura;False;stim-exp;schockierte;Daniel schockierte Laura, weil;"Daniel schockierte Laura, weil er sie so sehr liebte.
Laura: Ich weiß nicht, was ich machen"
