;Unnamed: 0;participant;list;item;condition_id;verbclass;reference;NP1gender;prompt;cont;analyzable;word_order;anaphor_type;pers;name;filter_$;type;NP1;NP2
0;0;65.0;3.0;1.0;3.0;es;subject;m;Aaron achtete Kathrin in hohem Grade, weil;sie für ihm in schlechten Zeit viel geholfen hat;4.0;so;pers;;;Not Selected;Experiment;Aaron;Kathrin
1;1;1.0;2.0;1.0;2.0;es;subject;f;Adele achtete Lukas in hohem Grade, weil;sie beeindruckt von seinem Auftreten war;5.0;so;pers;1.0;0.0;Selected;Experiment;Adele;Lukas
2;2;11.0;2.0;1.0;2.0;es;subject;f;Adele achtete Lukas in hohem Grade, weil;sie immer zu ihm gehen kann, wenn sie Hilfe benötigt.;5.0;so;pers;1.0;0.0;Selected;Experiment;Adele;Lukas
3;3;12.0;3.0;1.0;3.0;es;subject;m;Aaron achtete Kathrin in hohem Grade, weil;er nicht so intelligent war;5.0;so;pers;1.0;0.0;Selected;Experiment;Aaron;Kathrin
4;4;13.0;2.0;1.0;2.0;es;subject;f;Adele achtete Lukas in hohem Grade, weil;sie ihn schätzte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Adele;Lukas
5;5;14.0;3.0;1.0;3.0;es;subject;f;Aaron achtete Kathrin in hohem Grade, weil;er sehr begeistert von ihr ist.;5.0;so;pers;1.0;0.0;Selected;Experiment;Aaron;Kathrin
6;6;20.0;3.0;1.0;3.0;es;subject;f;Aaron achtete Kathrin in hohem Grade, weil;er ihre Arbeit sehr schätzte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Aaron;Kathrin
7;7;61.0;2.0;1.0;2.0;es;subject;f;Adele achtete Lukas in hohem Grade, weil;sie seine Arbeit sehr schätzte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Adele;Lukas
8;8;5.0;4.0;2.0;3.0;es;subject;f;Albert bedauerte Laura aus tiefstem Herzen, weil;er sie liebte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Albert;Laura
9;9;12.0;3.0;2.0;2.0;es;subject;m;Aisha bedauerte Jörg aus tiefstem Herzen, weil;sie sein Verlust nicht sehen konnte;5.0;so;pers;1.0;0.0;Selected;Experiment;Aisha;Jörg
