con;np1;np2;female;cat;verb;prompt;continuation
weil;Sebastian;Annika;False;stim-exp;beeindruckte;Sebastian beeindruckte Annika, weil;Sebastian beeindruckte Annika, weil es ihm gut ging.
weil;Sebastian;Annika;False;stim-exp;enttäuschte;Sebastian enttäuschte Annika, weil;Sebastian enttäuschte Annika, weil sie nicht wusste, was sie tun sollte.
weil;Sebastian;Annika;False;stim-exp;inspirierte;Sebastian inspirierte Annika, weil;Sebastian inspirierte Annika, weil sie sich in der Lage hatte, die Welt zu erkunden, die sie sich vorstellen konnte
weil;Sebastian;Annika;False;stim-exp;langweilte;Sebastian langweilte Annika, weil;Sebastian langweilte Annika, weil sie nicht mehr mit ihr zusammen war.
weil;Sebastian;Annika;False;stim-exp;verblüffte;Sebastian verblüffte Annika, weil;Sebastian verblüffte Annika, weil sie sich nicht mehr mit dem Thema beschäftigte.
weil;Sebastian;Annika;False;stim-exp;amüsierte;Sebastian amüsierte Annika, weil;Sebastian amüsierte Annika, weil es ihm so gut ging.
weil;Sebastian;Annika;False;stim-exp;ängstigte;Sebastian ängstigte Annika, weil;Sebastian ängstigte Annika, weil sie nicht mehr mit ihr zusammen war.
weil;Sebastian;Annika;False;stim-exp;begeisterte;Sebastian begeisterte Annika, weil;Sebastian begeisterte Annika, weil es so schön war.
weil;Sebastian;Annika;False;stim-exp;bezauberte;Sebastian bezauberte Annika, weil;Sebastian bezauberte Annika, weil es so schön war.
weil;Sebastian;Annika;False;stim-exp;entzückte;Sebastian entzückte Annika, weil;Sebastian entzückte Annika, weil es so schön war.
weil;Sebastian;Annika;False;stim-exp;erschreckte;Sebastian erschreckte Annika, weil;Sebastian erschreckte Annika, weil sie nicht mehr mit ihr zusammen war.
weil;Sebastian;Annika;False;stim-exp;erschütterte;Sebastian erschütterte Annika, weil;Sebastian erschütterte Annika, weil sie sich nicht mehr mit ihr austauschen konnte.
weil;Sebastian;Annika;False;stim-exp;erstaunte;Sebastian erstaunte Annika, weil;Sebastian erstaunte Annika, weil ich sie so liebe.
weil;Sebastian;Annika;False;stim-exp;faszinierte;Sebastian faszinierte Annika, weil;Sebastian faszinierte Annika, weil es so schön war.
weil;Sebastian;Annika;False;stim-exp;irritierte;Sebastian irritierte Annika, weil;Sebastian irritierte Annika, weil sie sich nicht mit ihr ins Gespräch brachte.
weil;Sebastian;Annika;False;stim-exp;schockierte;Sebastian schockierte Annika, weil;Sebastian schockierte Annika, weil es so gut ging.
weil;Sebastian;Annika;False;stim-exp;störte;Sebastian störte Annika, weil;Sebastian störte Annika, weil sie sich nicht gemeldet hatte.
weil;Sebastian;Annika;False;stim-exp;überraschte;Sebastian überraschte Annika, weil;Sebastian überraschte Annika, weil es ihm so gut ging.
weil;Sebastian;Annika;False;stim-exp;verwirrte;Sebastian verwirrte Annika, weil;Sebastian verwirrte Annika, weil es so schön war.
weil;Sebastian;Annika;False;exp-stim;bewunderte;Sebastian bewunderte Annika, weil;Sebastian bewunderte Annika, weil es ihr so gut gefallen hatte.
weil;Sebastian;Annika;False;exp-stim;fürchtete;Sebastian fürchtete Annika, weil;Sebastian fürchtete Annika, weil sie nicht mehr mit ihr zusammen sein wollte.
weil;Sebastian;Annika;False;exp-stim;sorgte sich um;Sebastian sorgte sich um Annika, weil;Sebastian sorgte sich um Annika, weil sie nicht mehr mit dem Auto unterwegs war.
weil;Sebastian;Annika;False;exp-stim;verachtete;Sebastian verachtete Annika, weil;Sebastian verachtete Annika, weil sie sich nicht mit ihr identifizieren konnte.
weil;Sebastian;Annika;False;exp-stim;vertraute;Sebastian vertraute Annika, weil;Sebastian vertraute Annika, weil es ihm gut ging.
weil;Sebastian;Annika;False;exp-stim;achtete;Sebastian achtete Annika, weil;Sebastian achtete Annika, weil sie sich für ihn interessierte.
weil;Sebastian;Annika;False;exp-stim;bedauerte;Sebastian bedauerte Annika, weil;Sebastian bedauerte Annika, weil sie ihn so lieb fand.
weil;Sebastian;Annika;False;exp-stim;bemitleidete;Sebastian bemitleidete Annika, weil;Sebastian bemitleidete Annika, weil sie sich nicht mit ihr ins Bett setzte.
weil;Sebastian;Annika;False;exp-stim;ekelte sich vor;Sebastian ekelte sich vor Annika, weil;Sebastian ekelte sich vor Annika, weil sie sich nicht mehr mit ihr austauschen konnte.
weil;Sebastian;Annika;False;exp-stim;hasste;Sebastian hasste Annika, weil;Sebastian hasste Annika, weil ich sie so liebe.
weil;Sebastian;Annika;False;exp-stim;liebte;Sebastian liebte Annika, weil;Sebastian liebte Annika, weil er sie liebte.
weil;Sebastian;Annika;False;exp-stim;misstraute;Sebastian misstraute Annika, weil;Sebastian misstraute Annika, weil sie sich nicht mehr mit ihr identifizieren kann.
weil;Sebastian;Annika;False;exp-stim;mochte;Sebastian mochte Annika, weil;Sebastian mochte Annika, weil sie ein sehr liebevolles und hilfsbereites Kind war.
weil;Sebastian;Annika;False;exp-stim;respektierte;Sebastian respektierte Annika, weil;Sebastian respektierte Annika, weil sie sich für sie entschieden hatte.
weil;Sebastian;Annika;False;exp-stim;schätzte;Sebastian schätzte Annika, weil;Sebastian schätzte Annika, weil es ihr so gut gefallen hat.
weil;Sebastian;Annika;False;exp-stim;verabscheute;Sebastian verabscheute Annika, weil;Sebastian verabscheute Annika, weil sie sich nicht mit ihr identifizieren konnte.
weil;Sebastian;Annika;False;exp-stim;verehrte;Sebastian verehrte Annika, weil;Sebastian verehrte Annika, weil sie ihr ein großes Herz schenkte.
weil;Sebastian;Annika;False;exp-stim;vergötterte;Sebastian vergötterte Annika, weil;Sebastian vergötterte Annika, weil es ihr gefällt.
weil;Sebastian;Annika;False;exp-stim;vermisste;Sebastian vermisste Annika, weil;Sebastian vermisste Annika, weil sie nicht mehr mit ihr zusammen war.
weil;Daniel;Laura;False;stim-exp;beeindruckte;Daniel beeindruckte Laura, weil;Daniel beeindruckte Laura, weil sie ihn so sehr mochte.
weil;Daniel;Laura;False;stim-exp;enttäuschte;Daniel enttäuschte Laura, weil;Daniel enttäuschte Laura, weil sie nicht wusste, was sie tun sollte.
weil;Daniel;Laura;False;stim-exp;inspirierte;Daniel inspirierte Laura, weil;Daniel inspirierte Laura, weil er ein sehr nettes Mädchen war.
weil;Daniel;Laura;False;stim-exp;langweilte;Daniel langweilte Laura, weil;Daniel langweilte Laura, weil sie nicht mehr mit ihm zusammen war.
weil;Daniel;Laura;False;stim-exp;verblüffte;Daniel verblüffte Laura, weil;Daniel verblüffte Laura, weil es ihm gut ging.
weil;Daniel;Laura;False;stim-exp;amüsierte;Daniel amüsierte Laura, weil;Daniel amüsierte Laura, weil sie nicht weiß, was sie tun soll.
weil;Daniel;Laura;False;stim-exp;ängstigte;Daniel ängstigte Laura, weil;Daniel ängstigte Laura, weil er sie nicht mochte.
weil;Daniel;Laura;False;stim-exp;begeisterte;Daniel begeisterte Laura, weil;Daniel begeisterte Laura, weil sie ihn so sehr mochte.
weil;Daniel;Laura;False;stim-exp;bezauberte;Daniel bezauberte Laura, weil;Daniel bezauberte Laura, weil es so schön war.
weil;Daniel;Laura;False;stim-exp;entzückte;Daniel entzückte Laura, weil;Daniel entzückte Laura, weil es so schön war.
weil;Daniel;Laura;False;stim-exp;erschreckte;Daniel erschreckte Laura, weil;Daniel erschreckte Laura, weil sie ihn nicht erkannte.
weil;Daniel;Laura;False;stim-exp;erschütterte;Daniel erschütterte Laura, weil;Daniel erschütterte Laura, weil sie sich nicht mehr mit ihr identifizieren konnte.
weil;Daniel;Laura;False;stim-exp;erstaunte;Daniel erstaunte Laura, weil;Daniel erstaunte Laura, weil er sie so lieb hat.
weil;Daniel;Laura;False;stim-exp;faszinierte;Daniel faszinierte Laura, weil;Daniel faszinierte Laura, weil sie ihn so sehr mochte.
weil;Daniel;Laura;False;stim-exp;irritierte;Daniel irritierte Laura, weil;Daniel irritierte Laura, weil sie sich nicht mit ihr ins Gespräch brachte.
weil;Daniel;Laura;False;stim-exp;schockierte;Daniel schockierte Laura, weil;Daniel schockierte Laura, weil sie ihr die Augen geöffnet hatte.
weil;Daniel;Laura;False;stim-exp;störte;Daniel störte Laura, weil;Daniel störte Laura, weil sie sich nicht mehr mit ihr austauschen konnte.
weil;Daniel;Laura;False;stim-exp;überraschte;Daniel überraschte Laura, weil;Daniel überraschte Laura, weil es ihm so gut ging.
weil;Daniel;Laura;False;stim-exp;verwirrte;Daniel verwirrte Laura, weil;Daniel verwirrte Laura, weil es so gut ging.
weil;Daniel;Laura;False;exp-stim;bewunderte;Daniel bewunderte Laura, weil;Daniel bewunderte Laura, weil sie ihn so liebte.
weil;Daniel;Laura;False;exp-stim;fürchtete;Daniel fürchtete Laura, weil;Daniel fürchtete Laura, weil sie nicht mehr mit ihm zusammen sein wollte.
weil;Daniel;Laura;False;exp-stim;sorgte sich um;Daniel sorgte sich um Laura, weil;Daniel sorgte sich um Laura, weil sie sich nicht mehr sicher fühlt.
weil;Daniel;Laura;False;exp-stim;verachtete;Daniel verachtete Laura, weil;Daniel verachtete Laura, weil sie ihn nicht mehr liebte.
weil;Daniel;Laura;False;exp-stim;vertraute;Daniel vertraute Laura, weil;Daniel vertraute Laura, weil es ihr gut ging.
weil;Daniel;Laura;False;exp-stim;achtete;Daniel achtete Laura, weil;Daniel achtete Laura, weil Laura wusste, dass Laura liebt ihn. Laura wusste, dass Laura liebt
weil;Daniel;Laura;False;exp-stim;bedauerte;Daniel bedauerte Laura, weil;Daniel bedauerte Laura, weil er sie nicht mochte.
weil;Daniel;Laura;False;exp-stim;bemitleidete;Daniel bemitleidete Laura, weil;Daniel bemitleidete Laura, weil sie nicht mehr mit ihm zusammen war.
weil;Daniel;Laura;False;exp-stim;ekelte sich vor;Daniel ekelte sich vor Laura, weil;Daniel ekelte sich vor Laura, weil es ihm so gut ging.
weil;Daniel;Laura;False;exp-stim;hasste;Daniel hasste Laura, weil;Daniel hasste Laura, weil es so schön ist.
weil;Daniel;Laura;False;exp-stim;liebte;Daniel liebte Laura, weil;Daniel liebte Laura, weil Laura liebte ihn.
weil;Daniel;Laura;False;exp-stim;misstraute;Daniel misstraute Laura, weil;Daniel misstraute Laura, weil er nicht mehr mit ihr zusammen ist.
weil;Daniel;Laura;False;exp-stim;mochte;Daniel mochte Laura, weil;Daniel mochte Laura, weil sie so viel zu sagen hatte.
weil;Daniel;Laura;False;exp-stim;respektierte;Daniel respektierte Laura, weil;Daniel respektierte Laura, weil sie sich für sie entschieden hatte.
weil;Daniel;Laura;False;exp-stim;schätzte;Daniel schätzte Laura, weil;Daniel schätzte Laura, weil er sie so lieb fand.
weil;Daniel;Laura;False;exp-stim;verabscheute;Daniel verabscheute Laura, weil;Daniel verabscheute Laura, weil sie sich nicht mit ihr identifizieren konnte.
weil;Daniel;Laura;False;exp-stim;verehrte;Daniel verehrte Laura, weil;Daniel verehrte Laura, weil sie ihn liebte.
weil;Daniel;Laura;False;exp-stim;vergötterte;Daniel vergötterte Laura, weil;Daniel vergötterte Laura, weil sie ihn so liebte.
weil;Daniel;Laura;False;exp-stim;vermisste;Daniel vermisste Laura, weil;Daniel vermisste Laura, weil sie nicht mehr mit ihr zusammen war.
weil;Jan;Jennifer;False;stim-exp;beeindruckte;Jan beeindruckte Jennifer, weil;Jan beeindruckte Jennifer, weil er ihr die Haare schneiden musste.
weil;Jan;Jennifer;False;stim-exp;enttäuschte;Jan enttäuschte Jennifer, weil;Jan enttäuschte Jennifer, weil sie nicht wusste, was sie tun sollte.
weil;Jan;Jennifer;False;stim-exp;inspirierte;Jan inspirierte Jennifer, weil;Jan inspirierte Jennifer, weil es ihr gelungen ist, die Welt zu verändern.
weil;Jan;Jennifer;False;stim-exp;langweilte;Jan langweilte Jennifer, weil;Jan langweilte Jennifer, weil es ihr zu viel war.
weil;Jan;Jennifer;False;stim-exp;verblüffte;Jan verblüffte Jennifer, weil;Jan verblüffte Jennifer, weil es ihr so gut gefallen hat.
weil;Jan;Jennifer;False;stim-exp;amüsierte;Jan amüsierte Jennifer, weil;Jan amüsierte Jennifer, weil es ihr so gut ging.
weil;Jan;Jennifer;False;stim-exp;ängstigte;Jan ängstigte Jennifer, weil;Jan ängstigte Jennifer, weil er das Gefühl hatte, dass sie nicht mehr mit ihm zusammen sein könne.
weil;Jan;Jennifer;False;stim-exp;begeisterte;Jan begeisterte Jennifer, weil;Jan begeisterte Jennifer, weil er sie nicht nur als eine der besten Schauspielerinnen der Welt, sondern auch als eine der
weil;Jan;Jennifer;False;stim-exp;bezauberte;Jan bezauberte Jennifer, weil;Jan bezauberte Jennifer, weil er sie nicht mehr sehen konnte.
weil;Jan;Jennifer;False;stim-exp;entzückte;Jan entzückte Jennifer, weil;Jan entzückte Jennifer, weil es ihr so gut gefallen hat.
weil;Jan;Jennifer;False;stim-exp;erschreckte;Jan erschreckte Jennifer, weil;Jan erschreckte Jennifer, weil er ihr die Augen geöffnet hatte.
weil;Jan;Jennifer;False;stim-exp;erschütterte;Jan erschütterte Jennifer, weil;Jan erschütterte Jennifer, weil sie sich mit dem Tod ihres Vaters beschwert.
weil;Jan;Jennifer;False;stim-exp;erstaunte;Jan erstaunte Jennifer, weil;Jan erstaunte Jennifer, weil ich mich für sie entschieden habe.
weil;Jan;Jennifer;False;stim-exp;faszinierte;Jan faszinierte Jennifer, weil;Jan faszinierte Jennifer, weil er ihr das Leben erzählte.
