Fall_Nr.;Liste;VP-Nr;Alter;Geschlecht;Muttersprache deutsch;weitere Muttersprachen;Händigkeit;Item;Condition;Unnamed: 10;Prompt;Fortsetzung;Art der Fortsetzung;Bias;Form der 1. Anapher;Kommentar;Timestamp;Torgrim_Art_Fortsetzung;Torgrim_Bias;Torgrim_Anapherntyp;Unnamed: 21;Human;ChatGPT
855;Liste2;15;24;f;deutsch;nein;rechts;15;4;<id: item 15, condition 4>;Die Elisabeth verabscheute den Andre im Laufe der letzten Jahre in immer stärkerem Maß, weil ;er ihr so viele Kunden weggeschnappt hat.;2;objekt;pers;;14056005703029.0;;;;;Die Elisabeth verabscheute den Andre im Laufe der letzten Jahre in immer stärkerem Maß, weil er ihr so viele Kunden weggeschnappt hat.;Die Elisabeth verabscheute den Andre im Laufe der letzten Jahre in immer stärkerem Maß, weil 
542;Liste3;10;28;f;deutsch;nein;rechts;2;2;<id: item 2, condition 2>;Die Laura bedauerte den Sebastian für die schlechte Note in Mathematik, weil ;sie weiß, dass seine Versetzung dadurch gefährdet sein könnte.;1;subjekt;pers;;14055944010128.0;;;;;Die Laura bedauerte den Sebastian für die schlechte Note in Mathematik, weil sie weiß, dass seine Versetzung dadurch gefährdet sein könnte.;Die Laura bedauerte den Sebastian für die schlechte Note in Mathematik, weil 
1019;Liste2;17;22;f;deutsch;nein;rechts;59;4;<id: item 59, condition 4>;Die Jennifer verblüffte den Kevin in der vorletzten Woche aufs Allerheftigste, weil ;sie ein Projekt im Alleingang fertigstellte.;1;subjekt;pers;;14055078333651.0;;;;;Die Jennifer verblüffte den Kevin in der vorletzten Woche aufs Allerheftigste, weil sie ein Projekt im Alleingang fertigstellte.;Die Jennifer verblüffte den Kevin in der vorletzten Woche aufs Allerheftigste, weil 
1817;Liste4;31;27;f;deutsch;Türkisch;rechts;17;4;<id: item 17, condition 4>;Die Nadine verehrte den Stephan über jedes vorstellbare Maß hinaus, weil ;sie noch keinen Tag erlebt hat, an dem er nicht Tiptop gekleidet ist..;1;subjekt;pers;;14055122079782.0;;;;;Die Nadine verehrte den Stephan über jedes vorstellbare Maß hinaus, weil sie noch keinen Tag erlebt hat, an dem er nicht Tiptop gekleidet ist..;Die Nadine verehrte den Stephan über jedes vorstellbare Maß hinaus, weil 
307;Liste2;6;25;f;deutsch;nein;rechts;7;4;<id: item 7, condition 4>;Die Franziska fürchtete den Jan schon seit langer Zeit über jedes erdenkliche Maß hinaus, weil ;er einen seltsamen blick hat.;1;objekt;pers;;14055936623237.0;;;;;Die Franziska fürchtete den Jan schon seit langer Zeit über jedes erdenkliche Maß hinaus, weil er einen seltsamen blick hat.;Die Franziska fürchtete den Jan schon seit langer Zeit über jedes erdenkliche Maß hinaus, weil 
1242;Liste2;21;24;f;deutsch;nein;rechts;42;1;<id: item 42, condition 1>;Der Leon ängstigte die Anne durch aggressives Verhalten gegenüber den Teilnehmern, weil ;sie aggressives Verhalten beängstigend findet.;1;objekt;pers;;14056010928088.0;;;;;Der Leon ängstigte die Anne durch aggressives Verhalten gegenüber den Teilnehmern, weil sie aggressives Verhalten beängstigend findet.;Der Leon ängstigte die Anne durch aggressives Verhalten gegenüber den Teilnehmern, weil 
301;Liste2;6;25;f;deutsch;nein;rechts;1;2;<id: item 1, condition 2>;Die Elena achtete den Bastian für das Engagement im Umweltschutz, weil ;die Zukunft uns alle betrifft.;0;;;;14055933709256.0;;;;;Die Elena achtete den Bastian für das Engagement im Umweltschutz, weil die Zukunft uns alle betrifft.;Die Elena achtete den Bastian für das Engagement im Umweltschutz, weil 
667;Liste1;12;20;f;deutsch;Englisch;rechts;7;3;<id: item 7, condition 3>;Der Jan fürchtete die Franziska schon seit langer Zeit über jedes erdenkliche Maß hinaus, weil ;sie immer seinen wunden Punkt findet und angreift.;1;objekt;pers;;14055966686715.0;;;;;Der Jan fürchtete die Franziska schon seit langer Zeit über jedes erdenkliche Maß hinaus, weil sie immer seinen wunden Punkt findet und angreift.;Der Jan fürchtete die Franziska schon seit langer Zeit über jedes erdenkliche Maß hinaus, weil 
341;Liste2;6;25;f;deutsch;nein;rechts;41;2;<id: item 41, condition 2>;Die Amelia amüsierte den Fabian durch das Erzählen von Witzen über Kollegen, weil ;er ihr gerne den Tag versüßt.;ns;;;;1405593296495.0;2;objekt;pers;;Die Amelia amüsierte den Fabian durch das Erzählen von Witzen über Kollegen, weil er ihr gerne den Tag versüßt.;Die Amelia amüsierte den Fabian durch das Erzählen von Witzen über Kollegen, weil 
1517;Liste3;26;26;f;deutsch;nein;rechts;17;3;<id: item 17, condition 3>;Der Stephan verehrte die Nadine über jedes vorstellbare Maß hinaus, weil ;sie die kreativste Person ist die er je getroffen hat.;1;objekt;pers;;14055096810039.0;;;;;Der Stephan verehrte die Nadine über jedes vorstellbare Maß hinaus, weil sie die kreativste Person ist die er je getroffen hat.;Der Stephan verehrte die Nadine über jedes vorstellbare Maß hinaus, weil 
1317;Liste3;22;20;f;deutsch;nein;rechts;57;3;<id: item 57, condition 3>;Der Max störte die Kathrin über alle Maßen während der Höhlenerkundung, weil ;er nicht aufhörte zu reden.;1;subjekt;pers;;14055084560024.0;;;;;Der Max störte die Kathrin über alle Maßen während der Höhlenerkundung, weil er nicht aufhörte zu reden.;Der Max störte die Kathrin über alle Maßen während der Höhlenerkundung, weil 
1612;Liste3;27;20;f;deutsch;Bosnisch;rechts;52;4;<id: item 52, condition 4>;Die Judith faszinierte den Benjamin seit dem Betriebsfest auf eine besondere Art und Weise, weil ;sie sich so locker und unbeschwert verhalten hatte. ;1;subjekt;pers;;14055964349777.0;;;;;Die Judith faszinierte den Benjamin seit dem Betriebsfest auf eine besondere Art und Weise, weil sie sich so locker und unbeschwert verhalten hatte. ;Die Judith faszinierte den Benjamin seit dem Betriebsfest auf eine besondere Art und Weise, weil 
499;Liste1;9;22;m;deutsch;nein;rechts;19;3;<id: item 19, condition 3>;Der David vermisste die Luise besonders oft an den lauen Sommerabenden, weil ;sie da immer zusammen Bier getrunken hatten;pl;;;;14056042096491.0;;;;;Der David vermisste die Luise besonders oft an den lauen Sommerabenden, weil sie da immer zusammen Bier getrunken hatten;Der David vermisste die Luise besonders oft an den lauen Sommerabenden, weil 
419;Liste4;7;22;m;deutsch;nein;rechts;59;2;<id: item 59, condition 2>;Die Jennifer verblüffte den Kevin durch einen unerwarteten Kuss auf den Mund, weil ;er nie gedacht hätte, dass sie ihn mögen könnte.;1;objekt;pers;;1405594453.48;;;;;Die Jennifer verblüffte den Kevin durch einen unerwarteten Kuss auf den Mund, weil er nie gedacht hätte, dass sie ihn mögen könnte.;Die Jennifer verblüffte den Kevin durch einen unerwarteten Kuss auf den Mund, weil 
1436;Liste1;24;19;m;deutsch;nein;rechts;56;2;<id: item 56, condition 2>;Die Johanna schockierte den Niko durch eine Striptease Einlage nach dem Essen, weil ;sie nicht die Figur hat um so eine Nummer durchzuziehen.;1;subjekt;pers;;14055964533221.0;;;;;Die Johanna schockierte den Niko durch eine Striptease Einlage nach dem Essen, weil sie nicht die Figur hat um so eine Nummer durchzuziehen.;Die Johanna schockierte den Niko durch eine Striptease Einlage nach dem Essen, weil 
665;Liste1;12;20;f;deutsch;Englisch;rechts;5;1;<id: item 5, condition 1>;Der Phillip bewunderte die Emma für die Neuzüchtung einer Orchideenart, weil ;er so etwas nicht könnte.;1;subjekt;pers;;14055964898068.0;;;;;Der Phillip bewunderte die Emma für die Neuzüchtung einer Orchideenart, weil er so etwas nicht könnte.;Der Phillip bewunderte die Emma für die Neuzüchtung einer Orchideenart, weil 
418;Liste4;7;22;m;deutsch;nein;rechts;58;3;<id: item 58, condition 3>;Der Ramon überraschte die Helene vorgestern Nachmittag in allerhöchstem Maße, weil ;er ein Frühstück für die Belegschaft ausgab.;1;subjekt;pers;;14055946981251.0;;;;;Der Ramon überraschte die Helene vorgestern Nachmittag in allerhöchstem Maße, weil er ein Frühstück für die Belegschaft ausgab.;Der Ramon überraschte die Helene vorgestern Nachmittag in allerhöchstem Maße, weil 
844;Liste2;15;24;f;deutsch;nein;rechts;4;3;<id: item 4, condition 3>;Der Martin beneidete die Saskia über jedes angemessene Maß hinaus, weil ;sie zudem noch mit einem Richter verheiratet ist.;1;objekt;pers;;14056005531586.0;;;;;Der Martin beneidete die Saskia über jedes angemessene Maß hinaus, weil sie zudem noch mit einem Richter verheiratet ist.;Der Martin beneidete die Saskia über jedes angemessene Maß hinaus, weil 
46;Liste4;1;24;m;deutsch;nein;rechts;46;3;<id: item 46, condition 3>;Der Timo bezauberte die Marlene auf fast schon magische Art und Weise, weil ;er charmant und witzig ist und ihr das Gefühl gibt, die wichtigste Frau auf der Welt zu sein.;1;subjekt;pers;;14055986038469.0;;;;;Der Timo bezauberte die Marlene auf fast schon magische Art und Weise, weil er charmant und witzig ist und ihr das Gefühl gibt, die wichtigste Frau auf der Welt zu sein.;Der Timo bezauberte die Marlene auf fast schon magische Art und Weise, weil 
826;Liste3;14;24;m;deutsch;nein;rechts;46;2;<id: item 46, condition 2>;Die Marlene bezauberte den Timo durch das schöne Harfenspiel im Schulorchester, weil ;sie eine grazile Eleganz beim Zupfen der Saiten verströmte.;1;subjekt;pers;;14055976922327.0;1;subjekt;pers;;Die Marlene bezauberte den Timo durch das schöne Harfenspiel im Schulorchester, weil sie eine grazile Eleganz beim Zupfen der Saiten verströmte.;Die Marlene bezauberte den Timo durch das schöne Harfenspiel im Schulorchester, weil 
1490;Liste1;25;37;f;deutsch;nein;rechts;50;4;<id: item 50, condition 4>;Die Annalena erschreckte den Yannik vor wenigen Minuten äußerst heftig, weil ;"sie sich versteckt hatte und mit einem lauten ""Bu"" vor ihm herausgesprungen war.";1;subjekt;pers;;14055105024598.0;;;;;"Die Annalena erschreckte den Yannik vor wenigen Minuten äußerst heftig, weil sie sich versteckt hatte und mit einem lauten ""Bu"" vor ihm herausgesprungen war.";Die Annalena erschreckte den Yannik vor wenigen Minuten äußerst heftig, weil 
1994;Liste4;34;25;m;deutsch;nein;rechts;14;3;<id: item 14, condition 3>;Der Florian sorgte sich um die Melanie mit stetig wachsender Unruhe, weil ;er schon lange kein Geräusch mehr von ihr hörte.;2;subjekt;pers;;14055966168544.0;;;;;Der Florian sorgte sich um die Melanie mit stetig wachsender Unruhe, weil er schon lange kein Geräusch mehr von ihr hörte.;Der Florian sorgte sich um die Melanie mit stetig wachsender Unruhe, weil 
674;Liste1;12;20;f;deutsch;Englisch;rechts;14;4;<id: item 14, condition 4>;Die Melanie sorgte sich um den Florian mit stetig wachsender Unruhe, weil ;sie ihn nichtmehr hörte.;2;subjekt;pers;;14055976556852.0;;;;;Die Melanie sorgte sich um den Florian mit stetig wachsender Unruhe, weil sie ihn nichtmehr hörte.;Die Melanie sorgte sich um den Florian mit stetig wachsender Unruhe, weil 
732;Liste4;13;19;f;deutsch;nein;rechts;12;1;<id: item 12, condition 1>;Der Peter respektierte die Katharina für die sachliche Art zu diskutieren, weil ;er selber Schwierigkeiten hat, sachlich zu bleiben.;1;subjekt;pers;;14055074273794.0;;;;;Der Peter respektierte die Katharina für die sachliche Art zu diskutieren, weil er selber Schwierigkeiten hat, sachlich zu bleiben.;Der Peter respektierte die Katharina für die sachliche Art zu diskutieren, weil 
2280;Liste2;38;23;m;deutsch;nein;links;60;3;<id: item 60, condition 3>;Der Manuel verwirrte die Paula während der dreiviertelstündigen Mittagspause durch und durch, weil ;immerzu Bananen isst. ;ns;;;;14056008324867.0;;;;;Der Manuel verwirrte die Paula während der dreiviertelstündigen Mittagspause durch und durch, weil immerzu Bananen isst. ;Der Manuel verwirrte die Paula während der dreiviertelstündigen Mittagspause durch und durch, weil 
705;Liste1;12;20;f;deutsch;Englisch;rechts;45;1;<id: item 45, condition 1>;Der Pascal erschütterte die Annika durch einen Selbstmordversuch mit einem Mix aus Tabletten, weil ;sie das von ihm nie gedacht hätte.;2;objekt;pers;;14055966319507.0;2;objekt;pers;;Der Pascal erschütterte die Annika durch einen Selbstmordversuch mit einem Mix aus Tabletten, weil sie das von ihm nie gedacht hätte.;Der Pascal erschütterte die Annika durch einen Selbstmordversuch mit einem Mix aus Tabletten, weil 
